Golongan_Umur,Bekerja,Pengangguran,Total_AK,Persen_Bekerja
15-19,4724711,1022187,5746898,82.21
20-24,13697195,2527741,16224936,84.42
25-29,16384148,1319299,17703447,92.55
30-34,16799939,619800,17419739,96.44
35-39,17177085,351093,17528178,98
40-44,16774454,332935,17107389,98.05
45-49,16164793,286032,16450825,98.26
50-54,14080825,242764,14323589,98.31
55-59,11512218,262632,11774850,97.77
60+,18455812,313824,18769636,98.33
Total,145771180,7278307,153049487,95.24
