Golongan_Umur,Sekolah,Urus_Rumah_Tangga,Lainnya,Total_BAK
15-19,14330701,1118209,845911,16294821
20-24,2306243,2982367,784753,6073363
25-29,89377,4465906,377833,4933116
30-34,11467,4654382,292508,4958357
35-39,1418,3976026,179179,4156623
40-44,-,3615213,154734,3769947
45-49,412,3193414,211826,3405652
50-54,337,2994904,311469,3306710
55-59,-,2997527,543142,3540669
60+,-,9501221,4683458,14184679
Total,16739955,39499169,8384813,64623937
