Kabupaten_Kota,Sektor_1,Sektor_2,Sektor_3,Sektor_4,Sektor_5,Sektor_6,Sektor_7,Sektor_8,Sektor_9,Sektor_10,Sektor_11,Sektor_12,Sektor_13,Sektor_14,Sektor_15,Sektor_16,Sektor_17,Sektor_18,Sektor_19,Sektor_20
Minahasa Selatan,720.15,764.02,780.83,803.67,3068.67,478.46,485.36,511.72,550.92,2026.44,555.17,606.92,584.44,642.01,2388.55,1753.78,1856.29,1876.99,1996.6,7483.66
Minahasa Utara,996.31,1025.15,1058.38,1143.67,4223.51,761.24,784.3,860.61,908.93,3315.08,916.9,985.02,963.82,1053.36,3919.1,2674.46,2794.47,2882.81,3105.96,11457.69
Bolaang Mongondow Utara,264.13,280.45,284.64,282.87,1112.09,89.65,92.71,108.36,112.24,402.96,125.2,134.11,128.95,142.65,530.91,478.98,507.27,521.95,537.77,2045.96
Siau Tagulandang Biaro,178.47,180.53,190.86,200.54,750.39,45.18,46.36,55.95,59.68,207.17,230.91,249.77,245.88,269.67,996.23,454.55,476.65,492.69,529.89,1953.79
Minahasa Tenggara,403.92,428.43,436.16,436.32,1704.82,261.23,267.67,306.12,323.05,1158.06,358.07,395.23,373.99,417.2,1544.5,1023.22,1091.33,1116.27,1176.57,4407.39
Bolaang Mongondow Selatan,170.52,178.45,179.04,179.62,707.64,52.75,56.56,69.08,70.96,249.34,156.09,172.25,160.74,171.93,661,379.36,407.26,408.86,422.51,1617.98
Bolaang Mongondow Timur,322.41,337.17,340.23,340.9,1340.71,55.52,56.22,67.06,70.83,249.64,156.01,169.1,160.81,182.33,668.24,533.94,562.49,568.1,594.06,2258.59
Kota Manado,120.21,119.45,131.42,147.59,518.68,1076.31,1102.94,1252.69,1311.19,4743.13,5958.85,6374.89,6324.9,6727.72,25386.36,7155.37,7597.28,7709.01,8186.51,30648.17
Kota Bitung,497.98,483.44,547.46,633.27,2162.14,1607.09,1594.71,1598.87,1763.71,6564.38,1182.25,1320.95,1301.05,1363.04,5167.29,3287.33,3399.09,3447.38,3760.02,13893.82
Kota Tomohon,198.94,208.58,213.64,219.58,840.74,235.94,246.95,273,287.26,1043.16,435.43,464.27,453.75,489.14,1842.59,870.31,919.81,940.38,995.98,3726.48
Kota Kotamobagu,66.65,72.59,75.93,72.79,287.96,116.86,120.03,142.75,148.03,527.68,492.56,537.12,515.2,554.32,2099.2,676.07,729.75,733.88,775.14,2914.84
Banggai Kepulauan,359.18,371.27,373.16,382.79,1486.41,35.25,35.64,35.05,40.2,146.14,351.23,370.36,364.09,386.92,1472.6,745.66,777.28,772.3,809.91,3105.15
Banggai,2547.92,2490.79,2679.38,2771.43,10489.52,1551.18,1598.14,1632.14,1697.03,6478.5,1049.48,1104.64,1109.82,1144.42,4408.36,5148.58,5193.57,5421.33,5612.88,21376.37
Morowali,4523.92,4677.06,5138.78,5116.03,19455.78,16264.36,18433.96,20603.79,21378.99,76681.1,652.67,674.81,670.39,674.01,2671.88,21440.95,23785.83,26412.96,27169.03,98808.77
Poso,707.57,740.77,699.14,710.66,2858.14,198.19,199.09,199.36,212.78,809.42,855.95,912.24,908.86,944.67,3621.72,1761.71,1852.1,1807.36,1868.12,7289.29
Donggala,1293.09,1356.59,1318.8,1306.01,5274.48,357.06,357.58,345.92,355.82,1416.38,673.93,763.59,738.06,772.63,2948.2,2324.07,2477.76,2402.78,2434.45,9639.06
Toli-Toli,664.94,675.08,664.76,680.76,2685.54,214.82,214.33,219.4,222.14,870.7,673.08,728.23,704.31,741.64,2847.26,1552.85,1617.64,1588.47,1644.55,6403.5
Buol,574.16,576.94,551.01,583.92,2286.04,237.58,238.32,239.02,249.45,964.38,288.54,310.66,303.4,317.79,1220.4,1100.29,1125.93,1093.44,1151.16,4470.82
Parigi Moutong,1505.13,1602.42,1538.02,1592.9,6238.47,472.41,447.51,455.43,492.71,1868.06,1156.34,1207.59,1195.48,1260.65,4820.06,3133.87,3257.52,3188.93,3346.26,12926.58
Tojo Una-Una,388.36,431.22,403.51,419.86,1642.94,158.35,158.2,166.92,173.1,656.56,476.2,496.67,502.54,525.85,2001.26,1022.9,1086.08,1072.97,1118.81,4300.77
Sigi,841.11,848.49,840,866.13,3395.74,248.08,232.37,258.74,284.24,1023.43,638.04,693.73,677.95,717.3,2727.02,1727.22,1774.59,1776.7,1867.67,7146.19
