Kabupaten_Kota,Sektor_1,Sektor_2,Sektor_3,Sektor_4,Sektor_5,Sektor_6,Sektor_7,Sektor_8,Sektor_9,Sektor_10,Sektor_11,Sektor_12,Sektor_13,Sektor_14,Sektor_15,Sektor_16,Sektor_17,Sektor_18,Sektor_19,Sektor_20
Seram Bagian Timur,286.71,288.25,292.23,276.72,1143.91,43.76,46.44,47.25,50.16,187.61,204.08,218.89,220.51,228.64,872.12,534.54,553.58,559.99,555.52,2203.64
Maluku Barat Daya,142.98,154.73,151.05,140.81,589.57,193.8,105.62,224.83,198.71,722.96,129.24,139.08,139.21,143.78,551.31,466.02,399.42,515.1,483.3,1863.84
Buru Selatan,101.98,100.44,104.73,105.37,412.52,29.45,30.89,31.51,33.28,125.14,125.27,133.89,133.97,138.68,531.81,256.69,265.22,270.21,277.34,1069.47
Kota Ambon,165.51,148.99,149.34,146.26,610.1,269.7,281.04,283.52,298.21,1132.48,2521.62,2648.06,2671.7,2757.98,10599.37,2956.84,3078.1,3104.56,3202.46,12341.94
Kota Tual,167.07,167.16,173.98,181.88,690.1,43.32,45.86,46.49,49.22,184.89,223.96,237.22,238.95,246.08,946.21,434.35,450.25,459.42,477.18,1821.2
Halmahera Barat,151.39,155.45,160.45,161.62,628.91,40.89,41.35,42.56,43.83,168.63,227.62,242.5,225.97,235.07,931.16,419.89,439.3,428.98,440.52,1728.7
Halmahera Tengah,1380.35,1329.97,1063.38,2183.99,5957.69,2069.03,2491.39,2258.79,4118.3,10937.51,245.01,257.74,246.82,260.52,1010.08,3694.39,4079.1,3568.99,6562.81,17905.29
Kepulauan Sula,179.99,189.46,190.61,187.72,747.79,72.77,74.06,77.21,89.24,313.29,201.25,207.74,200.49,214.62,824.1,454.01,471.27,468.31,491.58,1885.18
Halmahera Selatan,822.44,872.2,955.12,944.21,3593.97,1470.57,1712.72,1889.21,1939.77,7012.26,480.87,496.39,484.74,505.39,1967.4,2773.88,3081.31,3329.07,3389.37,12573.63
Halmahera Utara,553.75,524.88,444.74,450.5,1973.87,102.93,105.11,109.17,111.76,428.97,416.22,438.23,422.69,430.64,1707.79,1072.91,1068.22,976.6,992.91,4110.64
Halmahera Timur,450.79,464.91,542.05,547.25,2005.01,79.95,82.53,84.74,87.28,334.5,240.48,248.22,238.18,254.54,981.43,771.22,795.66,864.97,889.08,3320.94
Pulau Morotai,130.33,137.1,137.31,135.6,540.34,37.16,37.76,39.72,38.82,153.46,120.09,127.82,126.25,126.92,501.08,287.57,302.68,303.29,301.34,1194.88
Pulau Taliabu,199.49,208.54,211.41,211.84,831.27,14.64,15.29,15.74,16.62,62.3,86.01,89.48,86.1,90.66,352.25,300.13,313.31,313.25,319.12,1245.82
Kota Ternate,74.67,77.46,77.67,78.44,308.23,189.64,194.5,194.64,206.72,785.49,1874.03,1921.87,1913.78,2031.48,7741.17,2138.33,2193.83,2186.08,2316.64,8834.89
Kota Tidore Kepulauan,125.38,129.05,130.75,129.65,514.84,50.81,51.73,54.75,55.22,212.5,383.13,400.85,383.47,419.9,1587.36,559.32,581.63,568.98,604.77,2314.7
Fakfak,162.07,169.99,167.6,165.54,665.21,250.18,264.07,264.92,277.46,1056.64,498.08,500.74,494.36,502.38,1995.56,910.33,934.8,926.89,945.39,3717.4
Kaimana,134.62,132.33,131.85,128.44,527.24,87.27,112,112.4,122.63,434.3,219.56,217.21,214.27,217,868.03,441.45,461.55,458.51,468.07,1829.57
Teluk Wondama,82.74,82.91,82.16,79.84,327.65,49.15,50.87,52.5,57.14,209.66,134.55,137.31,138.16,141.18,551.2,266.44,271.09,272.82,278.16,1088.51
Teluk Bintuni,2509.08,3367.56,3490.2,3301.16,12668.01,4141.15,5753.63,5770.68,5774.94,21440.41,224.72,225.26,231.24,239.45,920.67,6874.95,9346.45,9492.12,9315.55,35029.08
Manokwari,277.89,285.98,285.55,288.87,1138.28,312.97,334.17,334.8,335.76,1317.71,1132.19,1153.49,1134.83,1151.74,4572.25,1723.05,1773.64,1755.18,1776.44,7028.3
Manokwari Selatan,93.04,93.84,97.11,95.67,379.66,6.72,6.83,6.9,6.93,27.39,58.35,60.94,62.73,63.52,245.54,158.11,161.61,166.74,166.13,652.59
Pegunungan Arfak,10.37,10.21,10.34,10.34,41.26,13.14,13.23,13.35,13.36,53.09,28.45,30.01,31.71,33.15,123.32,51.95,53.46,55.4,56.86,217.67
Raja Ampat,478,485.5,479.15,512.22,1954.88,69.36,70.84,70.69,77.79,288.67,152.05,156.19,160.47,167.27,635.98,699.41,712.53,710.31,757.28,2879.52
Sorong,649,655.36,647.39,651.26,2603.01,1332.28,1377.56,1371.19,1383.18,5464.22,342.45,348.84,341.45,353.36,1386.09,2323.73,2381.76,2360.03,2387.81,9453.33
Sorong Selatan,93.85,95.34,99.67,100.87,389.73,93.13,93.68,95.49,99.97,382.27,167.96,177.14,176.51,185.16,706.78,354.94,366.16,371.67,386,1478.78
Maybrat,33.92,34.46,35.64,36.26,140.28,18.89,18.97,19.1,19.86,76.82,70.71,71.38,72.35,75.14,289.57,123.51,124.82,127.09,131.25,506.67
Tambrauw,13.21,13.03,13.61,13.5,53.34,7.87,7.98,8.07,8.89,32.82,20.63,21.77,21.75,23.17,87.32,41.71,42.77,43.44,45.56,173.48
Kota Sorong,261.6,263.02,268.91,303.24,1096.77,517.93,538,557.36,582.48,2195.77,1795.43,1816.45,1783.07,1834.83,7229.77,2574.96,2617.46,2609.34,2720.55,10522.31
Jayapura,570.6,586.81,592.32,608.13,2357.87,525.02,547.02,559.27,561.91,2193.22,1629.83,1660.48,1683.01,1727.51,6700.83,2725.45,2794.32,2834.6,2897.55,11251.92
Kepulauan Yapen,179,182.94,184.86,186.98,733.78,86.37,87.96,88.12,90.4,352.85,517.36,524.84,532.55,537.44,2112.19,782.73,795.74,805.53,814.82,3198.82
Biak Numfor,231.19,233.96,233.51,239.19,937.84,90.7,91.32,91.55,95.38,368.94,592.64,595.29,598.42,602.49,2388.83,914.52,920.56,923.48,937.06,3695.62
Sarmi,147.13,148.03,148.6,155.07,598.83,110.44,111.34,114.24,116.14,452.16,247.61,250.52,251.49,257.89,1007.51,505.18,509.89,514.33,529.09,2058.5
Keerom,175.55,177.58,178.15,178.41,709.69,180.19,181.89,182.1,187.76,731.94,190.67,192.63,193.73,198.6,775.64,546.41,552.11,553.98,564.76,2217.27
Waropen,107.26,110.83,111.66,112.64,442.39,118.9,120.43,121.01,128.04,488.38,162.33,164.31,162.03,163.57,652.25,388.49,395.57,394.7,404.25,1583.01
Supiori,58.83,59.18,60.35,63.11,241.46,64.61,65.58,66.35,66.52,263.06,84.18,85.16,85.54,86.32,341.21,207.62,209.93,212.24,215.95,845.73
Mamberamo Raya,59.54,60.34,61.69,62.78,244.36,61.85,63.62,63.81,66.95,256.23,155.16,159.99,158.77,162.21,636.13,276.54,283.96,284.27,291.94,1136.71
Kota Jayapura,365.74,370.21,370.75,391.36,1498.05,1380.31,1430.43,1432.44,1445.57,5688.75,4504.77,4585.08,4648.96,4731.26,18470.06,6250.82,6385.72,6452.15,6568.19,25656.87
Merauke,752.94,754.3,760.88,778.51,3046.63,611.24,632.49,657.05,690.26,2591.04,1538.06,1551.24,1586.42,1597.72,6273.44,2902.23,2938.03,3004.35,3066.49,11911.1
Boven Digoel,225.7,227.77,232.59,231.85,917.92,391.62,405.46,412.1,415.34,1624.52,215.66,221.12,227.3,230.79,894.86,832.98,854.35,872,877.98,3437.3
Mappi,107.13,110.81,113.07,113.25,444.26,189.27,170.06,171.29,175.75,706.37,227.39,243.72,232.19,234.91,938.21,523.79,524.59,516.55,523.91,2088.84
Asmat,88.31,85.71,82.94,88.9,345.86,157.28,159.71,163.24,165.86,646.08,209.64,202.64,204.13,216.79,833.2,455.23,448.06,450.31,471.55,1825.14
Mimika,21670.2,20048.94,20245.91,19634.53,81599.59,514.07,518.89,544.19,549.66,2126.82,1724.9,1759.51,1785.19,1795.53,7065.14,23909.18,22327.34,22575.29,21979.73,90791.54
Dogiyai,71.6,73.21,75.95,74.46,295.22,25.68,26.11,26.53,26.66,104.98,135.38,138.28,138.23,140.33,552.22,232.66,237.6,240.71,241.46,952.42
Deiyai,51.25,52.22,53.69,54.04,211.21,67.2,71.95,76.11,80.81,296.07,99.98,101.12,102.54,103.86,407.49,218.44,225.28,232.34,238.71,914.77
Nabire,752.62,764.4,785.46,785.66,3088.12,328.36,347.68,348.75,357.14,1381.93,956.31,989.02,1004,1024.85,3974.18,2037.28,2101.1,2138.2,2167.65,8444.23
Paniai,404.74,408.67,411.16,414.58,1639.15,225.94,238.01,240.03,248.57,952.55,188.25,189.09,188.1,191.34,756.79,818.93,835.78,839.3,854.49,3348.49
Intan Jaya,48.74,49.41,47.64,48.7,194.49,69.22,72.18,75.36,75.84,292.61,82.17,83.26,83.55,84.75,333.73,200.14,204.85,206.55,209.29,820.83
Puncak,43.21,44.05,44.9,43.45,175.61,60.07,64.02,64.12,66.62,254.83,115.38,116.52,116.65,118.27,466.82,218.66,224.59,225.68,228.33,897.25
Puncak Jaya,71.1,71.96,72.52,70.13,285.72,76.11,76.54,79.38,81.71,313.74,113.16,115.75,115.39,116.52,460.82,260.29,264.25,267.29,268.43,1060.27
Nduga,53.03,52.9,52.24,50.26,208.42,57.7,57.11,69.34,70.36,254.51,107.23,112.32,107.57,114.32,441.44,217.96,222.32,229.16,234.93,904.37
Jayawijaya,180.21,195.44,192.52,194.12,762.28,202.83,249.32,229.76,239.4,921.31,924.03,972.5,941.86,972.77,3811.16,1307.07,1417.26,1364.14,1406.29,5494.76
Lanny Jaya,68.6,73.37,77.67,73.28,292.93,84.65,76.33,76.33,84,321.31,174.3,198.38,201.15,197.69,771.52,327.55,348.08,355.15,354.97,1385.76
Tolikara,70.56,71.65,71.09,71.54,284.84,63.48,63.55,68.59,66.47,262.09,157.26,160.36,163.13,164.5,645.26,291.3,295.56,302.81,302.51,1192.18
Mamberamo Tengah,35.55,37.83,38.98,37.67,150.04,59.1,49.42,49.3,60.19,218,117.28,118.14,120.23,121.88,477.53,211.93,205.39,208.51,219.74,845.57
Yalimo,55.25,56.55,55.45,54.19,221.44,49.19,44.13,45.34,50.05,188.71,117.73,113.97,121.57,123.92,477.18,222.17,214.66,222.36,228.15,887.34
Yahukimo,90.81,92.38,93.59,95.52,372.3,87.6,94.48,99.25,101.94,383.27,232.11,235.48,237.48,237.34,942.41,410.52,422.34,430.33,434.8,1697.99
Pegunungan Bintang,80.5,83.28,83.14,84.83,331.75,120.64,122.32,122.45,128.9,494.3,192.88,189.56,184.44,190.25,757.13,394.02,395.16,390.03,403.97,1583.18
