Tingkat Pendidikan 2,
,Tingkat Pengangguran Terbuka Berdasarkan Tingkat Pendidikan
,2024
Tidak/Belum Pernah Sekolah/Belum Tamat & Tamat SD,2.32
SMP,4.11
SMA umum,7.05
SMA Kejuruan,9.01
Diploma I/II/III,4.83
Universitas,5.25
