38 Provinsi,
,Persentase Tenaga Kerja Informal Sektor Pertanian (Persen)
,2025
ACEH,85.52
SUMATERA UTARA,80.62
SUMATERA BARAT,87.45
RIAU,64.82
JAMBI,74.69
SUMATERA SELATAN,80.45
BENGKULU,85.48
LAMPUNG,83.9
KEP. BANGKA BELITUNG,71.08
KEP. RIAU,74.29
DKI JAKARTA,41.78
JAWA BARAT,88.6
JAWA TENGAH,88.86
DI YOGYAKARTA,92.18
JAWA TIMUR,88.32
BANTEN,82.36
BALI,91.44
NUSA TENGGARA BARAT,94.58
NUSA TENGGARA TIMUR,93.66
KALIMANTAN BARAT,74.59
KALIMANTAN TENGAH,63.51
KALIMANTAN SELATAN,81.74
KALIMANTAN TIMUR,68.49
KALIMANTAN UTARA,76.23
SULAWESI UTARA,82.68
SULAWESI TENGAH,90.78
SULAWESI SELATAN,88.84
SULAWESI TENGGARA,92.89
GORONTALO,88.29
SULAWESI BARAT,88.96
MALUKU,93.88
MALUKU UTARA,90.89
PAPUA BARAT,93.09
PAPUA BARAT DAYA,92.9
PAPUA,91.57
PAPUA SELATAN,90.12
PAPUA TENGAH,97.22
PAPUA PEGUNUNGAN,99.14
INDONESIA,86.02
