Golongan Umur,,,,,,,,,,,,
,Bukan Angkatan Kerja (BAK) Menurut Golongan Umur (Orang),,,,,,,,,,,
,Sekolah,,,Mengurus Rumah Tangga,,,Lainnya,,,Jumlah BAK,,
,2024,,,2024,,,2024,,,2024,,
,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan
15-19,14330701,13321486,-,1118209,1362607,-,845911,987897,-,16294821,15671990,-
20-24,2306243,2296738,-,2982367,2866580,-,784753,804243,-,6073363,5967561,-
25-29,89377,140442,-,4465906,4323789,-,377833,402302,-,4933116,4866533,-
30-34,11467,13546,-,4654382,4493215,-,292508,241824,-,4958357,4748585,-
35-39,1418,391,-,3976026,4043246,-,179179,184624,-,4156623,4228261,-
40-44,-,1324,-,3615213,3491307,-,154734,157181,-,3769947,3649812,-
45-49,412,313,-,3193414,3068636,-,211826,204724,-,3405652,3273673,-
50-54,337,45,-,2994904,2921748,-,311469,276247,-,3306710,3198040,-
55-59,-,-,-,2997527,2854388,-,543142,481055,-,3540669,3335443,-
60+,-,-,-,9501221,9845375,-,4683458,4478292,-,14184679,14323667,-
Total,16739955,15774285,-,39499169,39270891,-,8384813,8218389,-,64623937,63263565,-
