Lapangan Pekerjaan Utama - Tenaga Kerja,,
,Penduduk 15 Tahun Ke Atas yang Bekerja menurut Lapangan Pekerjaan Utama (Orang),
,2025,
,Februari,Agustus
"Pertanian, Kehutanan, dan Perikanan",41609136,-
Pertambangan dan Penggalian,1644392,-
Industri Pengolahan,19602200,-
Pengadaan Listrik dan Gas,358781,-
"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",626518,-
Konstruksi,8700181,-
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",28073467,-
Transportasi dan Pergudangan,6167623,-
Penyediaan Akomodasi dan Makan Minum,11479960,-
Informasi dan Komunikasi,1248445,-
Jasa Keuangan dan Asuransi,1659648,-
Real Estat,498473,-
Jasa Perusahaan,2532979,-
"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",5323636,-
Jasa Pendidikan,7348363,-
Jasa Kesehatan dan Kegiatan Sosial,2507242,-
Jasa Lainnya,6390136,-
Total,145771180,-
