topic_id_v2,negatif,netral,positif,total,pct_negatif,pct_positif,pct_netral,dominant_sentiment,topic_label,keywords_clean,bps_category,rank
42,44,1,20,65,67.7,30.8,1.5,negatif,Kaya Kaya Kaya Kaya Gini Saingan,"kaya, kaya kaya, kaya gini, saingan, kaya raya, kekayaan",Lainnya,43
43,4,54,2,60,6.7,3.3,90.0,netral,Way Jalan On Way Way On,"way jalan, on way, way, on, jalan, lulus",Ketenagakerjaan,44
44,19,29,10,58,32.8,17.2,50.0,netral,Ajak Pls Biarin Kaburrr,"ajak, pls, biarin, kaburrr, bawa, plss",Lainnya,45
45,24,8,25,57,42.1,43.9,14.0,positif,Pelan Pelan Pelan Bnget Menyala,"pelan, pelan pelan, bnget, menyala, ikutt, bertahan",Lainnya,46
46,31,10,16,57,54.4,28.1,17.5,negatif,Keluarga Bawa Menyerah Kesana,"keluarga, bawa, menyerah, kesana, keluarganya, ibu",Lainnya,47
47,46,7,3,56,82.1,5.4,12.5,negatif,Ajakin Ajak Seandainya Story,"ajakin, ajak, seandainya, story, belanda, please",Lainnya,48
48,0,4,51,55,0.0,92.7,7.3,positif,Modal Negeri Perkuat Kemitraan Global,"modal negeri, perkuat, kemitraan, global, modal, sungguh",Migrasi & Ketenagakerjaan LN,49
49,25,9,20,54,46.3,37.0,16.7,negatif,Banget Apanya Nihh Benar Banget,"banget, apanya, nihh, benar banget, asli, benar",Lainnya,50
50,29,11,13,53,54.7,24.5,20.8,negatif,Plis Pen Pliss Plisss,"plis, pen, pliss, plisss, ajak, dokumen",Lainnya,51
51,31,6,15,52,59.6,28.8,11.5,negatif,Takut Takutnya Nyusul Tanggung,"takut, takutnya, nyusul, tanggung, jiwa, mental",Lainnya,52
52,18,3,31,52,34.6,59.6,5.8,positif,Ente Bahlil Sabi Kadang,"ente, bahlil, sabi, kadang, sama², iyaaa",Lainnya,53
53,40,7,4,51,78.4,7.8,13.7,negatif,Pajak Bayar Pajak Bayar Berkurang,"pajak, bayar pajak, bayar, berkurang, kena pajak, bpjs",Kebijakan Pemerintah,54
54,42,5,4,51,82.4,7.8,9.8,negatif,Duit Duit Duit Dana Uang,"duit, duit duit, dana, uang, ngumpulin, dompet",Upah & Kesejahteraan,55
55,33,10,6,49,67.3,12.2,20.4,negatif,Ajak Berusaha Peduli Banget,"ajak, berusaha, peduli, banget, diriku, bilek",Lainnya,56
56,8,39,2,49,16.3,4.1,79.6,netral,Informasi Website Informasi Loker Loker,"informasi, website, informasi loker, loker, belanda, abang",Ketenagakerjaan,57
57,30,6,12,48,62.5,25.0,12.5,negatif,Bersaing Kalah Laki Ordal,"bersaing, kalah, laki, ordal, org org, segi",Lainnya,58
58,0,5,42,47,0.0,89.4,10.6,positif,Kunci Isi Modern Semangat,"kunci, isi, modern, semangat, maju, benar benar",Lainnya,59
59,7,16,23,46,15.2,50.0,34.8,positif,Bismillah Nyusul Bismillah Iya Bismillah Semoga,"bismillah, nyusul, bismillah iya, bismillah semoga, semoga, secepatnya",Lainnya,60
60,34,6,3,43,79.1,7.0,14.0,negatif,Pejabat Admin Pejabatnya Kaya,"pejabat, admin, pejabatnya, kaya, kaya pejabat, slot",Lainnya,61
61,15,25,2,42,35.7,4.8,59.5,netral,Paspor Visa Bikin Paspor Rencana,"paspor, visa, bikin paspor, rencana, permit, njir",Lainnya,62
62,39,1,2,42,92.9,4.8,2.4,negatif,Tikus Sehat Negara Sakit Sakit,"tikus, sehat, negara sakit, sakit, dipaksa, garuda",Lainnya,63
63,25,11,6,42,59.5,14.3,26.2,negatif,Ayam Ikan Tagar Le,"ayam, ikan, tagar, le, petenteng, petantang petenteng",Lainnya,64
64,40,0,2,42,95.2,4.8,0.0,negatif,Miskin Kaya Negara Kaya Kaya Kaya,"miskin, kaya, negara kaya, kaya kaya, kaya pejabat, negara",Lainnya,65
65,12,0,30,42,28.6,71.4,0.0,positif,Mauuu Hahahaha Yauda Lahhh,"mauuu, hahahaha, yauda, lahhh, huhuhu, kakkk",Lainnya,66
66,29,7,6,42,69.0,14.3,16.7,negatif,China Cina Ceo Project,"china, cina, ceo, project, indo, populasi",Lainnya,67
67,0,41,0,41,0.0,0.0,100.0,netral,Keuangan Operasional Open Dm,"keuangan, operasional, open, dm, kampus, wa",Upah & Kesejahteraan,68
68,16,12,10,38,42.1,26.3,31.6,negatif,Trend Trend Pengen Ikutan Trend Pengen Trend,"trend, trend pengen, ikutan trend, pengen trend, trendnya, mengikuti",Lainnya,69
69,22,0,16,38,57.9,42.1,0.0,negatif,Fakta Bangettt Bukti Inii,"fakta, bangettt, bukti, inii, buktinya, realita",Lainnya,70
70,4,1,33,38,10.5,86.8,2.6,positif,Jaga Mari Sehari Dalam,"jaga, mari, sehari, dalam, kadang, berharga",Lainnya,71
71,17,14,6,37,45.9,16.2,37.8,negatif,Dikit Mirip Teriak Barengan,"dikit, mirip, teriak, barengan, hijau, tabung",Lainnya,72
72,15,7,15,37,40.5,40.5,18.9,positif,Negeri Negeri Negeri Semoga Keluar Negeri Negeri,"negeri negeri, negeri semoga, keluar negeri, negeri, semoga, keluar",Migrasi & Ketenagakerjaan LN,73
73,15,14,7,36,41.7,19.4,38.9,negatif,Pindah Negara Pindah Kanada Pengen Pindah,"pindah negara, pindah, kanada, pengen pindah, negara, aamiin iya",Migrasi & Ketenagakerjaan LN,74
74,13,8,15,36,36.1,41.7,22.2,positif,Cinta Setara Sebelah Tangan Bertepuk,"cinta, setara, sebelah tangan, bertepuk, bertepuk sebelah, sebelah",Lainnya,75
