Topic,Count,Name,Representation,Representative_Docs
48,55,48_modal negeri_perkuat_kemitraan_global,"['modal negeri', 'perkuat', 'kemitraan', 'global', 'modal', 'sungguh', 'tanah air', 'melonjak', 'air', 'proyek']","['betul mantap sungguh lihat modal luar negeri datang tanah air inisiatif besar lapangan kerja meningkat keuangan negara melonjak saya pasti dukung sepenuhnya perkuat kemitraan global', 'betul keren sungguh amati modal luar negeri datang tanah air proyek besar lapangan kerja bertambah keuangan negara melonjak saya pasti dukung sepenuhnya perkuat kemitraan global', 'betul hebat sungguh lihat modal luar negeri merambah tanah air proyek besar lapangan kerja bertambah ekonomi melonjak saya sih sangat mendukung perkuat kemitraan global']"
49,54,49_banget_apanya_nihh_benar banget,"['banget', 'apanya', 'nihh', 'benar banget', 'asli', 'benar', 'pengen banget', 'bahlil', 'nya benar', 'banget pengen']","['beneran nihh', 'asli pengen banget sih', 'bahlil ini apanya bahlul']"
50,53,50_plis_pen_pliss_plisss,"['plis', 'pen', 'pliss', 'plisss', 'ajak', 'dokumen', 'lengkap', 'pungut', 'cil', 'bocil']","['ajak saya kabur plis', 'ajak saya plis', 'mau ikut plis']"
51,52,51_takut_takutnya_nyusul_tanggung,"['takut', 'takutnya', 'nyusul', 'tanggung', 'jiwa', 'mental', 'benar banget', 'pinter', 'korut', 'depannya']","['ㅤ ㅤ ㅤ ㅤ jadi takut ini', 'takut g bisa shoping', 'baru netes takut kamu']"
52,52,52_ente_bahlil_sabi_kadang,"['ente', 'bahlil', 'sabi', 'kadang', 'sama²', 'iyaaa', 'pindahh', 'heh', 'bung', 'plss']","['aamiin sama² yah', 'iyaaa sama plss', 'hhhhaaaaaaaaaaaaaaaaaa ente bahlil kadang ente kadang']"
53,51,53_pajak_bayar pajak_bayar_berkurang,"['pajak', 'bayar pajak', 'bayar', 'berkurang', 'kena pajak', 'bpjs', 'makan', 'kena', 'pajaknya', 'suruh']","['bilang saja nanti tidak ada yang bayar pajak wkwkwk', 'bayar pajak tiap tahun', 'bayar pajak']"
54,51,54_duit_duit duit_dana_uang,"['duit', 'duit duit', 'dana', 'uang', 'ngumpulin', 'dompet', 'duitnya', 'pgn', 'ing', 'pengen']","['mau kabur saja dulu tapi baru punya duit ke', 'lah saya kalau ada duit juga lebih baik kabur deh', 'tahu lah duit duit saya']"
55,49,55_ajak_berusaha_peduli_banget,"['ajak', 'berusaha', 'peduli', 'banget', 'diriku', 'bilek', 'sabi', 'kamar', 'jateng', 'nanggung']","['cuma saya yang tahu berusaha apa ga nya najis banget ga berusaha saya apalah esdeem', 'cita keliling dunia tapi sdh terikat menyala diriku', 'wow keren banget mantap sangat memotivasi aku buat nabung dan trip dalam rangka kaburajadulu']"
56,49,56_informasi_website_informasi loker_loker,"['informasi', 'website', 'informasi loker', 'loker', 'belanda', 'abang', 'lokernya', 'infokan', 'ajah', 'vt']","['informasi kaburannya ga ini wkwk', 'informasi lokerrr', 'informasi gerbang isekai']"
57,48,57_bersaing_kalah_laki_ordal,"['bersaing', 'kalah', 'laki', 'ordal', 'org org', 'segi', 'org', 'menang', 'saudara laki', 'laki laki']","['bisa bersaing emang', 'kayak bisa bersaing saja bang', 'mampu bersaing kah orang seperti kamu']"
58,47,58_kunci_isi_modern_semangat,"['kunci', 'isi', 'modern', 'semangat', 'maju', 'benar benar', 'utama', 'faktor', 'penuhi', 'global']","['ini benar benar luar biasa kerja sama modern pemerintah kembangkan sarana rakyat isi dengan lewat kreativitas sinergi inilah kunci kunci negeri ini menonjol di tingkat global kibarkan semangat maju', 'ini luar biasa kerja sama modern otoritas dirikan sarana warga isi dengan melalui kreativitas kerja sama inilah kunci rahasia negeri ini menonjol di tingkat global kibarkan semangat maju', 'ini benar benar luar biasa gotong royong modern otoritas kembangkan infrastruktur masyarakat isi dengan dengan inovasi kerja sama inilah kunci negeri ini unggul di tingkat global kibarkan semangat maju']"
59,46,59_bismillah_nyusul_bismillah iya_bismillah semoga,"['bismillah', 'nyusul', 'bismillah iya', 'bismillah semoga', 'semoga', 'secepatnya', 'manifesting', 'muak', 'one day', 'day']","['okeee bismillah', 'bismillah mencicil kaburajadulu', 'bismillah']"
60,43,60_pejabat_admin_pejabatnya_kaya,"['pejabat', 'admin', 'pejabatnya', 'kaya', 'kaya pejabat', 'slot', 'kerja setuju', 'minimal pengalaman', 'indoo', 'kerja pejabat']","['pejabat lah ada wakilnya', 'pejabat lah bodoamat', 'pejabat buta kak']"
61,42,61_paspor_visa_bikin paspor_rencana,"['paspor', 'visa', 'bikin paspor', 'rencana', 'permit', 'njir', 'surat', 'pas', 'pakai', 'jawab']","['gampang ye ngmong bang paspor kamu visa kamu belum lagi ngelatih bahasa kamu dan biaya lain', 'paspor di agensi kakak', 'deh punya paspor tinggal perpanjang wronged']"
62,42,62_tikus_sehat_negara sakit_sakit,"['tikus', 'sehat', 'negara sakit', 'sakit', 'dipaksa', 'garuda', 'terlahir', 'memiliki', 'kntl', 'gila']","['di banyak orang di sini banyak tikus', 'kaburajadulu kata tikus tikus itu', 'iya di suruh sehat di negara yang sakit banyak tikus kelaparan']"
63,42,63_ayam_ikan_tagar_le,"['ayam', 'ikan', 'tagar', 'le', 'petenteng', 'petantang petenteng', 'petantang', 'hashtag', 'terkenal', 'wajib']","['ubur ubur ikan lele kabur saja dulu le', 'petantang petenteng pas ditantang bahkan kayak ayam sayur kaburajadulu', 'dengar bagaimana orang kamu semua pada kaburajadulu kocak sok petantang petenteng pas ditantang kaya ayam sayur']"
64,42,64_miskin_kaya_negara kaya_kaya kaya,"['miskin', 'kaya', 'negara kaya', 'kaya kaya', 'kaya pejabat', 'negara', 'kaya negara', 'nya kaya', 'menderita', 'sda']","['negara kita kaya tapi bukan untuk kita', 'yang kaya makin kaya yang miskin makin miskin', 'iya emang negara kaya tapi yang kaya para pejabat yang miskin mah makin miskin']"
65,42,65_mauuu_hahahaha_yauda_lahhh,"['mauuu', 'hahahaha', 'yauda', 'lahhh', 'huhuhu', 'kakkk', 'ikutt', 'bner', 'banget', '']","['ihhh mauuu', 'ihhhh mauuu', 'mauuu']"
66,42,66_china_cina_ceo_project,"['china', 'cina', 'ceo', 'project', 'indo', 'populasi', 'and', 'they', 'tambang', 'negara']","['bahkan ada persyaratanya harus cina', 'ayh nang china', 'aku mau tapi ke china']"
67,41,67_keuangan_operasional_open_dm,"['keuangan', 'operasional', 'open', 'dm', 'kampus', 'wa', 'tugas', 'ujian', 'bisnis', 'pajak']","['haloo kak open joki tugas realtime ujian atau quiz bisa dm wa ke akuntansi manajemen keuangan msdm keuangan bisnis manajemen operasional export import finance audit pajak brevet manajemen s kampus luar negeri psikotes kerja', 'soree kak open joki tugas realtime ujian atau quiz bisa dm wa ke akuntansi manajemen keuangan msdm keuangan bisnis manajemen operasional export import finance audit pajak brevet manajemen s kampus luar negeri psikotes kerja', 'haai kak open joki tugas realtime ujian atau quiz bisa dm wa ke akuntansi manajemen keuangan msdm keuangan bisnis manajemen operasional export import finance audit pajak brevet manajemen s kampus luar negeri psikotes kerja']"
68,38,68_trend_trend pengen_ikutan trend_pengen trend,"['trend', 'trend pengen', 'ikutan trend', 'pengen trend', 'trendnya', 'mengikuti', 'bubar', 'trend nya', 'ikutan', 'prabowo yordania']","['bagaimana ikut trend ini ga kaburajadulu', 'akhirnya trent juga ikut trend kaburajadulu', 'dia mau ikut trend kaburajadulu']"
69,38,69_fakta_bangettt_bukti_inii,"['fakta', 'bangettt', 'bukti', 'inii', 'buktinya', 'realita', 'faktanya', 'banget iya', 'benar banget', 'benar']","['fakta sekali', 'fakta bangetttt', 'fakta sih']"
70,38,70_jaga_mari_sehari_dalam,"['jaga', 'mari', 'sehari', 'dalam', 'kadang', 'berharga', 'capai', 'lupa', 'kesejahteraan', 'wujudkan']","['kadang kita terlupa luar biasanya kerja sama itu adalah warisan luhur kami mari terapkan dalam kehidupan sehari hari untuk jaga negara dan realisasikan kebahagiaan universal bersatu jaga negeri', 'kadang kita melupakan luar biasanya kerja sama itu adalah warisan luhur kita mari implementasikan dalam kehidupan sehari hari untuk jaga negeri dan realisasikan kesejahteraan bersama bersatu jaga negeri', 'kadang kita lupa luar biasanya kerja sama itu adalah warisan luhur kami mari terapkan dalam kehidupan sehari hari untuk jaga bangsa dan capai kemakmuran kolektif bersatu jaga negeri']"
71,37,71_dikit_mirip_teriak_barengan,"['dikit', 'mirip', 'teriak', 'barengan', 'hijau', 'tabung', 'inpo', 'hongkong', 'apanya', 'kebiasaan']","['lulus sama dikit', 'lengah dikit pengen kaburajadulu', 'ini orang kalau diwarnain hijau jadi mirip shrek atau mirip tabung gas yak kira']"
72,37,72_negeri negeri_negeri semoga_keluar negeri_negeri,"['negeri negeri', 'negeri semoga', 'keluar negeri', 'negeri', 'semoga', 'keluar', 'semoga kerja', 'banget negeri', 'terima kasih', 'yaa']","['tapi sebelum keluar negeri harus selesaikan s nya dulu di negara kita kakak mohon doa nya kakak semoga allah mudahkan setiap proses yang aku lalui aamiin terima kasih kakak', 'terima kasih banyak tuhan sudah memberikan aku rezeki dari kerja di luar negeri sedikit demi sedikit semoga bisa bahagiain keluargaku', 'yaallah semoga rezeki ku emg ada di luar negeri semoga aku bisa kerja di luar negeri dengan sehat dan tidak toxic dan bahagia dan well paid dan bisa jalan kaki malam dengan tenang dana bisa meromantisasi kehidupan bismillah iya allah aamiin']"
73,36,73_pindah negara_pindah_kanada_pengen pindah,"['pindah negara', 'pindah', 'kanada', 'pengen pindah', 'negara', 'aamiin iya', 'negara negara', 'kelahiran', 'semenjak', 'aamiin']","['list yang mau pindah negara aku', 'list pindah ke negara lain saya', 'pengen pindah negara ke kanada yangpentingpindahajadulu']"
74,36,74_cinta_setara_sebelah tangan_bertepuk,"['cinta', 'setara', 'sebelah tangan', 'bertepuk', 'bertepuk sebelah', 'sebelah', 'tangan', 'cari', 'cinta tanah', 'malam']","['cinta lah diri sendiri', 'saya dari dulu cinta indomie', 'cinta sendirian itu sakittt']"
75,35,75_pajak_harga_gaji_kebutuhan,"['pajak', 'harga', 'gaji', 'kebutuhan', 'pensiun', 'penghasilan', 'dipotong', 'bayar', 'bayar pajak', 'pokok']","['hapus tunjangan hapus kunjungan kerja ke luar negeri turunkan pajak turunkan harga harga kebutuhan pokok', 'kalau gak mau bayar pajak di suruh kerja luar negeri dan kalau gajian wajib bayar pajak lagi karena dpr perlu fasilitas dari pajak kita di jajah negeri sendiri', 'pajak penghasilan di luar negeri itu berapa selain pajak penghasilan pajak apa lagi yang harus dibayar disana kalau harga telur dan bahan makanan lainnya berapa iya']"
76,35,76_pekerjaan_pengalaman_susah banget_pengalaman kerja,"['pekerjaan', 'pengalaman', 'susah banget', 'pengalaman kerja', 'kerja pengalaman', 'susah', 'kerjaan', 'panggilan', 'lamaran', 'ijazah']","['gimn ini aku tidak punya pekerjaan', 'lagi tidak punya pekerjaan saya mah bang', 'dari tahun tidak punya pekerjaan bang']"
77,35,77_pastikan_kompeten_nkri_tenaga kerja,"['pastikan', 'kompeten', 'nkri', 'tenaga kerja', 'tenaga', 'menuju', 'maju', 'pertumbuhan', 'optimis', 'menjanjikan']","['bisa dirasakan setiap tahun indonesia lebih optimis di arena global hubungan luar negeri solid pertumbuhan ekonomi meningkat tenaga kerja kompeten kita sedang bergerak menuju hari esok yang gemilang pastikan nkri maju', 'bisa dirasakan dari tahun ke tahun indonesia makin optimis di kancah internasional hubungan luar negeri solid pertumbuhan ekonomi meningkat tenaga kerja kompeten kita sedang bergerak menuju prospek yang menjanjikan pastikan nkri maju', 'dapat dirasakan ini dari tahun ke tahun indonesia lebih optimis di panggung dunia hubungan luar negeri solid pertumbuhan ekonomi meningkat tenaga kerja kompeten kita sedang bergerak menuju prospek yang menjanjikan pastikan nkri maju']"
78,34,78_kwkw_wkwkw_yes_mu,"['kwkw', 'wkwkw', 'yes', 'mu', 'bersaing', 'cpt', 'gais', 'wkwkwkwkwk', 'lanjutkan', 'lh']","['pedas gini brok kwkw', 'yes yes umur balik indo mau ambil whv kwkw', 'kwkw lanjutkan menghayal tingkat tinggi mu dekk dengan usaha di dalam mimpi mu']"
