Topic,Count,Name,Representation,Representative_Docs
9,192,9_duit_uang_cari uang_lulus,"['duit', 'uang', 'cari uang', 'lulus', 'cari', 'biaya', 'kaya', 'murah', 'pakai duit', 'pakai']","['punya duit dulu baru bisa kaburajadulu', 'kak mau juga kaburajadulu tapi gpunya duit', 'semoga nanti kalau aku kuliah bisa cari uang sendiri biar bisa kaburajadulu']"
10,168,10_negara_negara negara_country_negara maju,"['negara', 'negara negara', 'country', 'negara maju', 'this country', 'nya negara', 'tercinta', 'this', 'manapun', 'maju']","['negara apa ini', 'negara macam apa ini', 'belum pernah semuak ini sama negara sendiri']"
11,167,11_duit_dana_uang_duitnya,"['duit', 'dana', 'uang', 'duitnya', 'duit duit', 'dana talang', 'talang', 'duit nya', 'gapunya', 'gk']","['sian duit', 'berarti punya duit saja dulu', 'ga ada duit gabisakabur']"
12,159,12_meragukan_yok_minimal_ijasah,"['meragukan', 'yok', 'minimal', 'ijasah', 'bukannya', 'umr', 'fomo', 'segampang', 'komen', 'bilang']","['kami juga meragukan bapak kok', 'lah saya meragukan bapak', 'saya meragukan fungsi anda']"
13,158,13_kakak_saingan_ngomong_iri,"['kakak', 'saingan', 'ngomong', 'iri', 'bicara', 'pengecut', 'ngomong ngomong', 'maaf', 'cuti', 'banget']","['kakak ngelmr nya kmnsi', 'wadu gawat ngomong-ngomong ikut kakak', 'gmn caranya kakak harus banget iya bisa bahasa dsna ngomong-ngomong ada loker gk kakak buat habis lebaran']"
14,153,14_laki_abang_saudara_saudara laki,"['laki', 'abang', 'saudara', 'saudara laki', 'laki laki', 'adik', 'kakak', 'nyusul', 'males', 'uda']","['sudah kabur saudara laki-laki', 'sama saudara laki-laki', 'tosss dulu kita saudara laki-laki']"
15,135,15_trend_trend nya_ikutan trend_trendnya,"['trend', 'trend nya', 'ikutan trend', 'trendnya', 'ikutan', 'berakhir', 'selesai', 'hilang', 'bikin trend', 'join']","['nampaknya bisa di fikirkan buat ikut trend ini', 'trend bulanan', 'trend kabur saja dulu teruslah jadi trend sampai tahun']"
16,120,16_diakui_menteri negeri_internasional_menteri,"['diakui', 'menteri negeri', 'internasional', 'menteri', 'hingga', 'panggung', 'dunia', 'indonesia', 'kerja nyata', 'yes']","['yes fakta nkri makin bersinar di panggung internasional ini hasil kerja keras kita seluruh rakyat dari hubungan luar negeri hingga kerja nyata kerjasama negara amp rakyat tunjukkan indonesia mampu berperan besar di panggung internasional makin diakui diglobal', 'iya kenyataan nkri makin cemerlang di panggung internasional ini buah kerja keras kita seluruh rakyat dari hubungan luar negeri hingga kerja nyata sinergi pemerintah amp rakyat bukti indonesia mampu berperan besar di panggung internasional makin diakui diglobal', 'yes fakta nkri makin cemerlang di panggung internasional ini buah kerja keras kita semua dari hubungan luar negeri hingga kerja nyata kolaborasi negara amp warga bukti indonesia mampu berperan besar di arena dunia makin diakui diglobal']"
17,113,17_bahasa_bahasa asing_asing_belajar bahasa,"['bahasa', 'bahasa asing', 'asing', 'belajar bahasa', 'belajar', 'bahasanya', 'bahasa inggris', 'inggris', 'bahasa nya', 'duit']","['tidak bisa bahasa asing', 'g bisa bahasa asing', 'pengen tapi gak punya duit dan bloon untuk belajar bahasa asing']"
18,110,18_kocak_aamiin_bjirr_putra,"['kocak', 'aamiin', 'bjirr', 'putra', 'melbourne', 'tulisan', 'ngarep', 'banyakin', 'repost', 'samaa']","['ajak woy', 'in ajak akuu', 'banyakin repost']"
19,104,19_belajar bahasa_bahasa_kuliah_belajar,"['belajar bahasa', 'bahasa', 'kuliah', 'belajar', 'beasiswa', 'kewarganegaraan', 'lulus', 'pindah kewarganegaraan', 'visa', 'inggris']","['sedang belajar bahasa asing untuk kaburajadulu', 'plisss mau belajar bahasa inggris dulu baru kaburajadulu', 'buat kamu lagi belajar bahasa inggris baik buat kerjaan kaburajadulu lingkungan kantor banyak ekspatnya persiapan kuliah keluar negeri daftar beasiswa dan lain-lain bisa coba belajar dari podcast bbc english menit per video link di komentar please like bookmark dan rt']"
20,100,20_susah_susah kerja_kerja_kerjain,"['susah', 'susah kerja', 'kerja', 'kerjain', 'susah nya', 'kerja susah', 'masuk kerja', 'niat', 'kerjaan', 'pabrik']","['setuju banget makanya kalau emg mau bikin generasi kedepan gampang cari kerja persyaratan nya jangan di persulit pemerintah nya juga kadang diem saja tentang masalah ini dan bahkan banyak perusahaan yang lebih milih orang dalem atau kenalan yang boleh masuk kerja ke perusahaan nya', 'maslahanya kerja susah mau kerja apa v kesana kesini susah keluaran smp', 'makelar juga jadi penyebab susah nya masuk kerja']"
21,100,21_bangg_mantap_lagu_banggg,"['bangg', 'mantap', 'lagu', 'banggg', 'culik', 'lanjutkan', 'ikutt', 'nama', 'informasi', 'wih']","['bang ikut bangg', 'setuju bangg', 'mantap bangg']"
22,97,22_korea_selatan_ijasah_smp,"['korea', 'selatan', 'ijasah', 'smp', 'tunggu', 'pindah', 'sd', 'doain', 'pengen', 'sayang']","['saya kabur ke korea', 'deh lah bang kita mah mau ke korea saja', '𓇼 korea ga']"
23,94,23_dpr_kunjungan kerja_kunjungan_tunjangan,"['dpr', 'kunjungan kerja', 'kunjungan', 'tunjangan', 'anggota', 'dpr ri', 'ri', 'anggota dpr', 'prabowo', 'presiden prabowo']","['pada hari minggu presiden prabowo menyatakan pimpinan dpr akan mencabut beberapa kebijakan dpr termasuk besaran tunjangan anggota dpr dan pemberlakuan moratorium kunjungan kerja ke luar negeri', 'para pimpinan dpr menyampaikan akan dilakukan pencabutan beberapa kebijakan dpr ri termasuk besaran tunjangan anggota dpr dan juga moratorium kunjungan kerja ke luar negeri', 'kemudian para pimpinan dpr menyampaikan akan dilakukan pencabutan beberapa kebijakan dpr ri termasuk besaran tunjangan anggota dpr dan juga moratorium kunjungan kerja ke luar negeri ujar prabowo']"
24,94,24_semangat_usahakan_bahlil_ilmu,"['semangat', 'usahakan', 'bahlil', 'ilmu', 'hargai', 'tetangga', 'biar', 'bikin trend', 'mindset', 'wujudkan']","['lufa disyiram pak bahlil kita semakin ditantang semakin semangat loh', 'jadi coba perbaiki mindset kita kaburajadulu berarti kita siap untuk bersaing bukan hanya sekedar mencari uang tetapi ilmu ketika bersaing ilmu maka kita akan mendapat koneksi yang sangat luas hingga sampai sekarang itu masih menjadi mimpi saya berkarir diluar dengan ilmu', 'kasih kesempatan buat aku plsssss takut banget diphpin ih sudah berharap banget padahal ngomong-ngomong kamu semangat iya kakkkk kalau bisa kita kaburajadulu deh iya di indo makin makin gajelas sistemnya seperti mana najis']"
25,93,25_duit_uang_uang uang_duitnya,"['duit', 'uang', 'uang uang', 'duitnya', 'pengen', 'modal', 'trend nya', 'pengen ikutan', 'money', 'duit duit']","['pengen kabur juga tapi ga punya duit', 'tidak ada uang uang bang kita masih kecil', 'tidak ada uang uang']"
26,92,26_gas_gass_oke_gasss,"['gas', 'gass', 'oke', 'gasss', 'yok', 'menyusul', 'paket', 'habis lulus', 'tes', 'bljr']","['gas saja kak', 'gas hee pada kabur', 'gas kaburajadulu']"
27,91,27_umur_tua_usia_max,"['umur', 'tua', 'usia', 'max', 'batasan', 'muda', 'maksimal', 'pengalaman', 'th', 'jaman']","['iya untuk tua pun palingan sampai umur an', 'kak umur bisa ga', 'umur bisa']"
28,91,28_benar_benar banget_iya benar_iya iya,"['benar', 'benar banget', 'iya benar', 'iya iya', 'setuju', 'benar benar', 'bangettt', 'iya', 'benar iya', 'banget']","['benar banget', 'benar banget lagi', 'benar banget bang aku setuju banget']"
