Provinsi,Indeks Pembangunan Manusia
Aceh,75.36
Sumatera Utara,75.76
Sumatera Barat,76.43
Riau,75.67
Jambi,74.36
Sumatera Selatan,73.84
Bengkulu,74.91
Lampung,73.13
Kepulauan Bangka Belitung,74.55
Kepulauan Riau,79.89
DKI Jakarta,84.15
Jawa Barat,74.92
Jawa Tengah,73.87
DI Yogyakarta,81.62
Jawa Timur,75.35
Banten,76.35
Bali,78.63
Nusa Tenggara Barat,73.1
Nusa Tenggara Timur,69.14
Kalimantan Barat,71.19
Kalimantan Tengah,74.28
Kalimantan Selatan,75.19
Kalimantan Timur,78.79
Kalimantan Utara,73.41
Sulawesi Utara,75.68
Sulawesi Tengah,72.24
Sulawesi Selatan,75.18
Sulawesi Tenggara,73.62
Gorontalo,72.01
Sulawesi Barat,70.46
Maluku,73.4
Maluku Utara,71.84
Papua Barat,67.69
Papua Barat Daya,69.65
Papua,73.83
Papua Selatan,68.86
Papua Tengah,60.25
Papua Pegunungan,54.43
Indonesia,75.02
