38 Provinsi,,,,,,,,,
,Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2025,,,2025,,,2025,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,174.18,168.77,-,530.51,534.56,-,704.69,703.33,-
SUMATERA UTARA,636.55,648.75,-,503.71,479.31,-,1140.25,1128.06,-
SUMATERA BARAT,119.45,115.18,-,192.9,197.12,-,312.35,312.3,-
RIAU,173.52,171.03,-,287.45,304.54,-,460.96,475.57,-
JAMBI,120.3,117.84,-,150.64,143.41,-,270.94,261.25,-
SUMATERA SELATAN,314.49,310.56,-,605.12,587.68,-,919.6,898.24,-
BENGKULU,87.39,94.51,-,165.58,155.69,-,252.97,250.19,-
LAMPUNG,229.16,229.09,-,657.85,631.04,-,887.02,860.13,-
KEP. BANGKA BELITUNG,35.68,33.31,-,42.03,41.35,-,77.71,74.65,-
KEP. RIAU,101.34,94.77,-,15.94,19.79,-,117.28,114.55,-
DKI JAKARTA,464.87,439.12,-,-,-,-,464.87,439.12,-
JAWA BARAT,2846.48,2826.25,-,808.26,724.46,-,3654.74,3550.71,-
JAWA TENGAH,1746.72,1740.48,-,1619.97,1604.34,-,3366.69,3344.82,-
DI YOGYAKARTA,321.04,319.12,-,104.77,103.67,-,425.82,422.79,-
JAWA TIMUR,1641.18,1637.78,-,2234.7,2166.5,-,3875.88,3804.29,-
BANTEN,627.88,615.02,-,144.9,145.84,-,772.78,760.85,-
BALI,112.17,106.07,-,61.07,54.02,-,173.24,160.09,-
NUSA TENGGARA BARAT,353.68,349.94,-,300.89,287.24,-,654.57,637.18,-
NUSA TENGGARA TIMUR,121.85,112.54,-,966.93,919.15,-,1088.78,1031.69,-
KALIMANTAN BARAT,92.9,90.28,-,238.05,232.27,-,330.95,322.54,-
KALIMANTAN TENGAH,69.13,62.26,-,78.67,79.5,-,147.8,141.75,-
KALIMANTAN SELATAN,78.47,67.37,-,94.25,101.44,-,172.72,168.81,-
KALIMANTAN TIMUR,112.08,116.95,-,87.63,85.09,-,199.71,202.04,-
KALIMANTAN UTARA,25.56,29.73,-,17.01,12.73,-,42.57,42.45,-
SULAWESI UTARA,62.62,58.28,-,111.22,113.86,-,173.84,172.13,-
SULAWESI TENGAH,76.92,71.84,-,279.27,273.53,-,356.19,345.38,-
SULAWESI SELATAN,227.84,232.01,-,470.29,453.13,-,698.13,685.14,-
SULAWESI TENGGARA,71.53,81.03,-,232.9,214.27,-,304.43,295.31,-
GORONTALO,27.01,25.88,-,135.73,129.88,-,162.74,155.76,-
SULAWESI BARAT,24.71,23.86,-,127.6,126.02,-,152.31,149.88,-
MALUKU,37.16,41.13,-,250.6,245.73,-,287.76,286.86,-
MALUKU UTARA,23.13,22.91,-,54.14,51.9,-,77.27,74.81,-
PAPUA BARAT,14.94,16.16,-,91.95,86.25,-,106.9,102.4,-
PAPUA BARAT DAYA,29.4,24.02,-,74.17,78.39,-,103.57,102.41,-
PAPUA,35.63,33.01,-,135.75,127.24,-,171.38,160.25,-
PAPUA SELATAN,8.16,9.92,-,97.37,94,-,105.53,103.92,-
PAPUA TENGAH,14.19,20.42,-,288.11,289.44,-,302.31,309.86,-
PAPUA PEGUNUNGAN,10.51,26.1,-,326.81,282.09,-,337.32,308.19,-
INDONESIA,11269.83,11183.28,-,12584.73,12176.43,-,23854.56,23359.71,-
