38 Provinsi,
,Tingkat Setengah Pengangguran Menurut Provinsi (Persen)
,2025
ACEH,13.83
SUMATERA UTARA,9.05
SUMATERA BARAT,10.69
RIAU,8.98
JAMBI,9.27
SUMATERA SELATAN,8.98
BENGKULU,9.71
LAMPUNG,11.29
KEP. BANGKA BELITUNG,7.38
KEP. RIAU,5.01
DKI JAKARTA,3.22
JAWA BARAT,8.35
JAWA TENGAH,7
DI YOGYAKARTA,5.56
JAWA TIMUR,6.56
BANTEN,6.66
BALI,2.8
NUSA TENGGARA BARAT,13.94
NUSA TENGGARA TIMUR,11.44
KALIMANTAN BARAT,8.39
KALIMANTAN TENGAH,5.97
KALIMANTAN SELATAN,7.39
KALIMANTAN TIMUR,5.66
KALIMANTAN UTARA,4.71
SULAWESI UTARA,7.77
SULAWESI TENGAH,8.04
SULAWESI SELATAN,7.93
SULAWESI TENGGARA,7.94
GORONTALO,6.82
SULAWESI BARAT,11.33
MALUKU,11.49
MALUKU UTARA,10.56
PAPUA BARAT,9.74
PAPUA BARAT DAYA,7.49
PAPUA,8.63
PAPUA SELATAN,6.45
PAPUA TENGAH,16.89
PAPUA PEGUNUNGAN,5.37
INDONESIA,7.91
