Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
,2025
ACEH,11191
Simeulue,8555
Aceh Singkil,10227
Aceh Selatan,9573
Aceh Tenggara,9097
Aceh Timur,10284
Aceh Tengah,12175
Aceh Barat,10937
Aceh Besar,11072
Pidie,11607
Bireuen,10418
Aceh Utara,9813
Aceh Barat Daya,9922
Gayo Lues,10237
Aceh Tamiang,9959
Nagan Raya,9759
Aceh Jaya,11324
Bener Meriah,12657
Pidie Jaya,11543
Kota Banda Aceh,18356
Kota Sabang,13040
Kota Langsa,13510
Kota Lhokseumawe,13071
Kota Subulussalam,8910
SUMATERA UTARA,11898
Nias,8115
Mandailing Natal,11100
Tapanuli Selatan,12557
Tapanuli Tengah,11687
Tapanuli Utara,12643
Toba Samosir / Toba,13333
Labuhan Batu,12537
Asahan,12760
Simalungun,12585
Dairi,11794
Karo,13583
Deli Serdang,13697
Langkat,12452
Nias Selatan,8082
Humbang Hasundutan,9097
Pakpak Bharat,9462
Samosir,10057
Serdang Bedagai,12429
Batu Bara,11747
Padang Lawas Utara,11371
Padang Lawas,10258
Labuhan Batu Selatan,12797
Labuhan Batu Utara,13347
Nias Utara,7606
Nias Barat,7032
Kota Sibolga,13317
Kota Tanjung Balai,12726
Kota Pematang Siantar,13783
Kota Tebing Tinggi,14499
Kota Medan,16489
Kota Binjai,12409
Kota Padangsidimpuan,12274
Kota Gunungsitoli,9477
SUMATERA BARAT,12041
Kepulauan Mentawai,7451
Pesisir Selatan,10633
Solok,11318
Sijunjung,11829
Tanah Datar,11552
Padang Pariaman,12089
Agam,11034
Lima Puluh Kota,10917
Pasaman,9418
Solok Selatan,11542
Dharmasraya,12604
Pasaman Barat,10231
Kota Padang,15957
Kota Solok,13504
Kota Sawah Lunto,11501
Kota Padang Panjang,12148
Kota Bukittinggi,14579
Kota Payakumbuh,14536
Kota Pariaman,14261
RIAU,12233
Kuantan Singingi,11400
Indragiri Hulu,11495
Indragiri Hilir,11248
Pelalawan,13052
Siak,13546
Kampar,12200
Rokan Hulu,10769
Bengkalis,12521
Rokan Hilir,10895
Kepulauan Meranti,9380
Kota Pekanbaru,15610
Kota Dumai,13369
JAMBI,12018
Kerinci,11650
Merangin,11847
Sarolangun,13030
Batang Hari,11219
Muaro Jambi,10579
Tanjung Jabung Timur,10626
Tanjung Jabung Barat,11266
Tebo,11791
Bungo,13182
Kota Jambi,13706
Kota Sungai Penuh,11994
SUMATERA SELATAN,12416
Ogan Komering Ulu,11700
Ogan Komering Ilir,12547
Muara Enim,12646
Lahat,11620
Musi Rawas,11407
Musi Banyuasin,11790
Banyu Asin,11638
Ogan Komering Ulu Selatan,10010
Ogan Komering Ulu Timur,13154
Ogan Ilir,12445
Empat Lawang,11315
Penukal Abab Lematang Ilir,9965
Musi Rawas Utara,11460
Kota Palembang,16725
Kota Prabumulih,14342
Kota Pagar Alam,10610
Kota Lubuklinggau,15090
BENGKULU,12197
Bengkulu Selatan,11518
Rejang Lebong,11824
Bengkulu Utara,12045
Kaur,10180
Seluma,9919
Mukomuko,12055
Lebong,12776
Kepahiang,11010
Bengkulu Tengah,10973
Kota Bengkulu,15971
LAMPUNG,11683
Lampung Barat,11612
Tanggamus,10888
Lampung Selatan,11540
Lampung Timur,11670
Lampung Tengah,12975
Lampung Utara,10160
Way Kanan,10831
Tulangbawang,12513
Pesawaran,9638
Pringsewu,11950
Mesuji,9843
Tulang Bawang Barat,10032
Pesisir Barat,9879
Kota Bandar Lampung,14270
Kota Metro,13380
KEP. BANGKA BELITUNG,13837
Bangka,13411
Belitung,14559
Bangka Barat,13380
Bangka Tengah,13768
Bangka Selatan,12920
Belitung Timur,12694
Kota Pangkal Pinang,16856
KEPULAUAN RIAU,15881
Karimun,13649
Bintan,15303
Natuna,15683
Lingga,13108
Kepulauan Anambas,13141
Kota Batam,19944
Kota Tanjung Pinang,16838
DKI JAKARTA,20676
Kep. Seribu,14691
Kota Jakarta Selatan,26387
Kota Jakarta Timur,19824
Kota Jakarta Pusat,19309
Kota Jakarta Barat,22831
Kota Jakarta Utara,20584
JAWA BARAT,12447
Bogor,11933
Sukabumi,10244
Cianjur,9173
Bandung,11619
Garut,9479
Tasikmalaya,9258
Ciamis,10406
Kuningan,10707
Cirebon,11769
Majalengka,11094
Sumedang,11963
Indramayu,11316
Subang,12144
Purwakarta,13400
Karawang,13251
Bekasi,13004
Bandung Barat,9862
Pangandaran,9995
Kota Bogor,13571
Kota Sukabumi,12692
Kota Bandung,19280
Kota Cirebon,13341
Kota Bekasi,17216
Kota Depok,17279
Kota Cimahi,13697
Kota Tasikmalaya,11849
Kota Banjar,12222
JAWA TENGAH,12746
Cilacap,12371
Banyumas,13301
Purbalingga,11949
Banjarnegara,10992
Kebumen,10658
Purworejo,12085
Wonosobo,12552
Magelang,11343
Boyolali,14594
Klaten,13948
Sukoharjo,13238
Wonogiri,10938
Karanganyar,13244
Sragen,14461
Grobogan,11991
Blora,11240
Rembang,12189
Pati,12186
Kudus,12842
Jepara,12242
Demak,12014
Semarang,13923
Temanggung,10995
Kendal,13721
Batang,11424
Pekalongan,12185
Pemalang,10521
Tegal,11498
Brebes,11853
Kota Magelang,14023
Kota Surakarta,16883
Kota Salatiga,17523
Kota Semarang,17402
Kota Pekalongan,14988
Kota Tegal,14801
D I YOGYAKARTA,15855
Kulon Progo,11499
Bantul,17240
Gunung Kidul,11006
Sleman,18231
Kota Yogyakarta,21104
JAWA TIMUR,13509
Pacitan,10756
Ponorogo,11561
Trenggalek,11322
Tulungagung,12505
Blitar,12633
Kediri,12968
Malang,11681
Lumajang,10603
Jember,11147
Banyuwangi,13963
Bondowoso,12192
Situbondo,11713
Probolinggo,12749
Pasuruan,12117
Sidoarjo,16366
Mojokerto,14525
Jombang,12976
Nganjuk,14068
Madiun,13325
Magetan,13515
Ngawi,12837
Bojonegoro,11796
Tuban,12117
Lamongan,12963
Gresik,14983
Bangkalan,10265
Sampang,10030
Pamekasan,10206
Sumenep,10631
Kota Kediri,14284
Kota Blitar,15586
Kota Malang,18596
Kota Probolinggo,14134
Kota Pasuruan,15289
Kota Mojokerto,15374
Kota Madiun,18173
Kota Surabaya,20679
Kota Batu,14807
BANTEN,13498
Pandeglang,9923
Lebak,10165
Tangerang,13625
Serang,12065
Kota Tangerang,16058
Kota Cilegon,14759
Kota Serang,15250
Kota Tangerang Selatan,17396
BALI,15383
Jembrana,13113
Tabanan,15752
Badung,19004
Gianyar,16244
Klungkung,13023
Bangli,12447
Karangasem,11676
Buleleng,14827
Kota Denpasar,21185
NUSA TENGGARA BARAT,11922
Lombok Barat,12544
Lombok Tengah,11870
Lombok Timur,10851
Sumbawa,10716
Dompu,10230
Bima,9821
Sumbawa Barat,12983
Lombok Utara,10502
Kota Mataram,16851
Kota Bima,12623
NUSA TENGGARA TIMUR,8735
Sumba Barat,8530
Sumba Timur,10619
Kupang,8745
Timor Tengah Selatan,7951
Timor Tengah Utara,7364
Belu,8354
Alor,8022
Lembata,8397
Flores Timur,8700
Sikka,9219
Ende,10126
Ngada,9827
Manggarai,8423
Rote Ndao,7652
Manggarai Barat,8351
Sumba Tengah,6965
Sumba Barat Daya,7588
Nagekeo,9213
Manggarai Timur,6745
Sabu Raijua,6452
Malaka,7067
Kota Kupang,14262
KALIMANTAN BARAT,10689
Sambas,11939
Bengkayang,10462
Landak,9104
Mempawah,9518
Sanggau,9990
Ketapang,10826
Sintang,9993
Kapuas Hulu,8765
Sekadau,8862
Melawi,9799
Kayong Utara,9306
Kubu Raya,10500
Kota Pontianak,16725
Kota Singkawang,13344
KALIMANTAN TENGAH,12612
Kotawaringin Barat,14507
Kotawaringin Timur,13434
Kapuas,12602
Barito Selatan,12736
Barito Utara,11534
Sukamara,10178
Lamandau,12498
Seruyan,10620
Katingan,11781
Pulang Pisau,11545
Gunung Mas,12215
Barito Timur,13018
Murung Raya,11776
Kota Palangka Raya,15469
KALIMANTAN SELATAN,13757
Tanah Laut,12986
Kotabaru,13163
Banjar,14101
Barito Kuala,11469
Tapin,13381
Hulu Sungai Selatan,14453
Hulu Sungai Tengah,13608
Hulu Sungai Utara,11168
Tabalong,13541
Tanah Bumbu,13380
Balangan,12675
Kota Banjarmasin,16013
Kota Banjar Baru,15361
KALIMANTAN TIMUR,14254
Paser,12709
Kutai Barat,12251
Kutai Kartanegara,13365
