Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
Pacitan,10099
Ponorogo,11065
Trenggalek,10872
Tulungagung,11966
Blitar,12020
Kediri,12388
Malang,11190
Lumajang,10124
Jember,10700
Banyuwangi,13320
Bondowoso,11689
Situbondo,11216
Probolinggo,12258
Pasuruan,11617
Sidoarjo,15710
Mojokerto,13903
Jombang,12454
Nganjuk,13376
Madiun,12668
Magetan,12915
Ngawi,12414
Bojonegoro,11204
Tuban,11579
Lamongan,12419
Gresik,14356
Bangkalan,9841
Sampang,9782
Pamekasan,9811
Sumenep,10156
Kota Kediri,13670
Kota Blitar,14933
Kota Malang,17791
Kota Probolinggo,13405
Kota Pasuruan,14664
Kota Mojokerto,14842
Kota Madiun,17518
Kota Surabaya,19666
Kota Batu,14253
BANTEN,13097
Pandeglang,9574
Lebak,9631
Tangerang,13254
Serang,11767
Kota Tangerang,15641
Kota Cilegon,14294
Kota Serang,14603
Kota Tangerang Selatan,17028
BALI,14920
Jembrana,12638
Tabanan,15297
Badung,18556
Gianyar,15577
Klungkung,12358
Bangli,12148
Karangasem,11176
Buleleng,14377
Kota Denpasar,20763
NUSA TENGGARA BARAT,11606
Lombok Barat,12431
Lombok Tengah,11531
Lombok Timur,10571
Sumbawa,10349
Dompu,9971
Bima,9418
Sumbawa Barat,12841
Lombok Utara,10272
Kota Mataram,16514
Kota Bima,12362
NUSA TENGGARA TIMUR,8534
Sumba Barat,8243
Sumba Timur,10280
Kupang,8508
Timor Tengah Selatan,7755
Timor Tengah Utara,7242
Belu,8159
Alor,7806
Lembata,8238
Flores Timur,8505
Sikka,9019
Ende,10009
Ngada,9585
Manggarai,8204
Rote Ndao,7365
Manggarai Barat,8195
Sumba Tengah,6743
Sumba Barat Daya,7358
Nagekeo,8986
Manggarai Timur,6561
Sabu Raijua,6207
Malaka,6879
Kota Kupang,14001
KALIMANTAN BARAT,10321
Sambas,11538
Bengkayang,10208
Landak,8868
Mempawah,9163
Sanggau,9728
Ketapang,10472
Sintang,9657
Kapuas Hulu,8470
Sekadau,8511
Melawi,9596
Kayong Utara,9016
Kubu Raya,10132
Kota Pontianak,16212
Kota Singkawang,12945
KALIMANTAN TENGAH,12303
Kotawaringin Barat,14095
Kotawaringin Timur,13042
Kapuas,12265
Barito Selatan,12508
Barito Utara,11150
Sukamara,9809
Lamandau,12278
Seruyan,10474
Katingan,11691
Pulang Pisau,11207
Gunung Mas,11902
Barito Timur,12576
Murung Raya,11503
Kota Palangka Raya,15188
KALIMANTAN SELATAN,13399
Tanah Laut,12595
Kotabaru,12929
Banjar,13683
Barito Kuala,11168
Tapin,13163
Hulu Sungai Selatan,14150
Hulu Sungai Tengah,13176
Hulu Sungai Utara,10981
Tabalong,13097
Tanah Bumbu,13026
Balangan,12325
Kota Banjarmasin,15714
Kota Banjar Baru,14927
KALIMANTAN TIMUR,13793
Paser,12181
Kutai Barat,11903
Kutai Kartanegara,12957
Kutai Timur,12490
Berau,14101
Penajam Paser Utara,13100
Mahakam Ulu,9126
Kota Balikpapan,16854
Kota Samarinda,16160
Kota Bontang,18394
KALIMANTAN UTARA,10197
Malinau,11190
Bulungan,10581
Tana Tidung,8707
Nunukan,8265
Kota Tarakan,12451
SULAWESI UTARA,11998
Bolaang Mongondow,11507
Minahasa,13681
Kepulauan Sangihe,12409
Kepulauan Talaud,9512
Minahasa Selatan,12529
Minahasa Utara,12412
Bolaang Mongondow Utara,10170
Siau Tagulandang Biaro,9062
Minahasa Tenggara,11511
Bolaang Mongondow Selatan,10114
Bolaang Mongondow Timur,10191
Kota Manado,15301
Kota Bitung,13539
Kota Tomohon,13045
Kota Kotamobagu,12074
SULAWESI TENGAH,10536
Banggai Kepulauan,8375
Banggai,10772
Morowali,12281
Poso,9948
Donggala,9117
Toli-Toli,8918
Buol,9051
Parigi Moutong,10846
Tojo Una-Una,8863
Sigi,9254
Banggai Laut,8776
Morowali Utara,10032
Kota Palu,15941
SULAWESI SELATAN,12275
Kepulauan Selayar,10235
Bulukumba,11807
Bantaeng,12719
Jeneponto,10158
Takalar,11679
Gowa,10700
Sinjai,10665
Maros,12209
Pangkajene dan Kepulauan,12643
Barru,12058
Bone,10084
Soppeng,10547
Wajo,13608
Sidenreng Rappang,13209
Pinrang,13010
Enrekang,12138
Luwu,11121
Tana Toraja,8319
Luwu Utara,12866
Luwu Timur,13867
Toraja Utara,9292
Kota Makasar,18386
Kota Parepare,14928
Kota Palopo,14369
SULAWESI TENGGARA,10606
Buton,8401
Muna,9107
Konawe,11415
Kolaka,13534
Konawe Selatan,10250
Bombana,9692
Wakatobi,10739
Kolaka Utara,11650
Buton Utara,8746
Konawe Utara,10658
Kolaka Timur,9012
Konawe Kepulauan,7996
Muna Barat,8458
Buton Tengah,8434
Buton Selatan,8386
Kota Kendari,15651
Kota Baubau,11755
GORONTALO,11539
Boalemo,10401
Gorontalo,10645
Pohuwato,11618
Bone Bolango,11717
Gorontalo Utara,10476
Kota Gorontalo,13860
SULAWESI BARAT,10208
Majene,10909
Polewali Mandar,9536
Mamasa,8415
Mamuju,10440
Mamuju Utara / Pasangkayu,12190
Mamuju Tengah,9250
MALUKU,9684
Maluku Tenggara Barat / Kepulauan Tanimbar,7091
Maluku Tenggara,8553
Maluku Tengah,11183
Buru,11261
Kepulauan Aru,8488
Seram Bagian Barat,9706
Seram Bagian Timur,10049
Maluku Barat Daya,7600
Buru Selatan,8474
Kota Ambon,15196
Kota Tual,8238
MALUKU UTARA,9320
Halmahera Barat,8426
Halmahera Tengah,9140
Kepulauan Sula,8020
Halmahera Selatan,8210
Halmahera Utara,8607
Halmahera Timur,8999
Pulau Morotai,7523
Pulau Taliabu,7226
Kota Ternate,14731
Kota Tidore Kepulauan,9269
PAPUA BARAT,8805
Fakfak,8159
Kaimana,9242
Teluk Wondama,8887
Teluk Bintuni,10592
Manokwari,13008
Sorong Selatan,-
Sorong,-
Raja Ampat,-
Tambrauw,-
Maybrat,-
Manokwari Selatan,6139
Pegunungan Arfak,5722
Kota Sorong,-
PAPUA BARAT DAYA,8733
Raja Ampat,8761
Sorong,8283
Sorong Selatan,6928
Maybrat,5824
Tambrauw,5489
Kota Sorong,14368
PAPUA,11037
Merauke,-
Jayawijaya,-
Jayapura,10848
Nabire,-
Kepulauan Yapen,8409
Biak Numfor,10600
Paniai,-
Puncak Jaya,-
Mimika,-
Boven Digoel,-
Mappi,-
Asmat,-
Yahukimo,-
Pegunungan Bintang,-
