created_at,full_text,id_str
15/02/2025,"kalau ikutkan berapa % je yg masuk legally, selebihnya semua ceroboh",6901569352329118722
15/02/2025,"nmpak cm pandai,kalau camtu listkan lah keburukan dia? lain la kalau rakyat Malaysia ni rajin nk kerja kuli bangunan kan????",6893420423929660418
15/02/2025,mmg la bila tempoh dh tamat ada yg tknk balik 🗿 pastu Malaysia kene tmpung ramai warga asing,7384745923136947218
15/02/2025,budak budak lagi tu,7463262454404154375
15/02/2025,memang kne ada dokumen tapi dia boleh masuk sempadan Malaysia guna jalan tikus.,7063280416816546842
14/02/2025,"hm mmg budak pun bg, tapi mmg fakta dia kalau org malay suka buka bisnis. food stall siring jalan, bazzar kebanyakan org malay yg amik tempat",7288715103749719048
14/02/2025,aku tgk akaun kau ni mcm budak je tapi palatau tau semua bende,6931555678746559489
14/02/2025,"lawangan kerja banyak bhai di malaysia, org² malaysia pun bnyk yg bukak bisnis dan kerjakan warga asing.",7288715103749719048
14/02/2025,"dah tu mana nk ltk warganegara yg tgh cari keje skrg, tau2 dah kene ambik ngan warga asing",6931555678746559489
14/02/2025,ye kak saya plg bengang cashier kat pam minyaj pun dh start muka2 drg ada. Geramm je aku,6902012781663929346
14/02/2025,kalau ada dokumen pun nak tengok ke bangsa diorang lagi banyak dari bangsa kita kat sini lepastu bangsa kita tak dak peluang pekerjaan,7343923067113079814
14/02/2025,kau reti baca tak? faham isu aku kata? ni pasal boarder,7199181141142668290
14/02/2025,warga asing tu yg masuk secara Haram yang takde dokumen 😑,7251525619011208194
14/02/2025,tak semua orng indo tu masuk secara haram 😑,7251525619011208194
14/02/2025,masalahnya. mmg mesti ketatkan sempadan klw x bnyk pendatang tnpa izin masuk.,6978989308884763674
14/02/2025,"yng ""lari"" maksud aku yg bikin ""KABURAJADULU"". (Lari=Kabur).",7288715103749719048
14/02/2025,"salah baca kot, aku tujukan utk org² yg berdokumen.",7288715103749719048
14/02/2025,ada juga takda dokumen,7356734541573178386
14/02/2025,"ha tu baik pergi keluar la. Aku ckp yg ada dokumen lengkap je, bukan yg gitu² tu. penambah b20 je",7288715103749719048
12/02/2025,gw nanya salah siapa negara kek gini? pejabat nya atau rakyat nya??,7262709600053527558
13/02/2025,nasionalisme tahun segini??? 💀💀💀💀💀,6997009168588112901
12/02/2025,"#dirumahaja selamat tinggal
selamat datang #kaburajadulu",7301087251709494278
12/02/2025,"Lulus SMK otw jepang
#kaburajadulu",6823532165775721473
12/02/2025,saya udah 3 tahun di spanyol bang 😂,7392483000401560581
11/02/2025,pengen ikut tapi lulusan sekolah dasar salah ambil keputusan jadi nyesel😔😔😔,6946433265474421761
11/02/2025,alhamdulillah untung udh kerja di jepang selama 1tahun gak di negara yg sakit ini,7057110639223686145
22/02/2025,"Bingung napa ya orang² pada mau ke Jepang? 🤔ada apa emang disana? napa gak ke Amerika aja? setahu ku Amerika itu negara paling maju, segala hal² modern yang kita pakai sekarang ini buatan dari amerik",7347720859345241089
26/02/2025,guanyusul nanti di usia 23😄,7270285026730148865
13/02/2025,"lulus smk otw australia
#kaburajadulu",7312786209084261382
20/03/2025,"list yang mau pindah negara
1. Aku",7368477966526120965
14/02/2025,"bisa bahasa jepang karna nonton anime🗿, apakah saat nya pindah😹",6957807978289464325
11/04/2025,Indonesia gelap 😔,7485347282708481045
