created_at,full_text,id_str,lang
Mon Sep 29 05:32:59 +0000 2025,@daddyyuki @ch4o5Myth Usia 22 bener2 korban FOMO #KaburAjaDulu ‍️,1972535054300782900,in
Mon Sep 29 05:31:17 +0000 2025,@Delta_tofu @ch4o5Myth @daddyyuki Itu dia! Dan diberita sana ada dua nama yg kesebut : 1. INDONESIA &gt; Negara Asal 2. MUHAMMAD &gt; Nama Pelaku &gt; nama yg identik dgn umat muslim Gara2 mental kabur aja 2 identitas dirugikan Dari awal gk setuju diksi #KaburAjaDulu Kabur &gt; lari dr sesuatu tanpa mikir panjang ‍️,1972534627463270492,in
Mon Sep 29 04:30:44 +0000 2025,buat adik-adik SMA bisa pertimbangkan #KaburAjaDulu kuliah Materials Engineering atau Mining-related Engineering di Jerman 🇩🇪 kuliahnya gratis di sana sejak dihapusnya UN jadinya nilai rapor/ijazah SMA Indonesia 🇮🇩 tidak diakui cari cara ya misalnya consult @schoters_com,1972519390412448198,in
Mon Sep 29 03:51:22 +0000 2025,@goraici @FelixSGL1 kayanya gue kalo dapet kue dan kursi bakal lupa daratan juga sih wkwkwkwkwk #KaburAjaDulu,1972509479590875486,in
Mon Sep 29 01:33:56 +0000 2025,Mana yg dulu teriak2 #KaburAjaDulu?! Waktu menjawab kan! Kalau sudah gini kicep lo pada. PENGECUT! Jangan denger orang2 FOMO dengerlah mereka yg berjuang dr nol jaga nama baik seperti: Refa Enra Dian (neo japan). Bukan malah dimusuhi krn mereka speak yg bener! @ch4o5Myth https://t.co/mhYpVNmAx4,1972474896027619618,in
Mon Sep 29 00:03:15 +0000 2025,Terima kasih kamar ini yang sudah menjadi awal pertualangan yang seru. Sekarang waktunya saya izin meninggalkan tempat ini untuk melebarkan sayap ke negeri yang baru. Bismillah. Semoga dilancarkan di negeri singa keluar air itu #KaburAjaDulu https://t.co/zRLLWhbM97,1972452072722510231,in
Sun Sep 28 23:21:05 +0000 2025,oke ga jadi #kaburajadulu tapi gapapa https://t.co/e0sWyKU0zb,1972441460709703781,in
Sun Sep 28 20:30:35 +0000 2025,@dick76083 Org singapur udah ngomong kayak gitu apa kaga malu ya org indo yg mau atau udah #kaburajadulu ? ,1972398554468749515,in
Sun Sep 28 15:47:03 +0000 2025,Terus i told yang ti that i will go to jogja this dec to take jlpt. And she was like kenapa jauh sekali dibelabelain tes memang buat apa? . Kujawab #kaburajadulu terus she was genuinely concerned kabur dari apa? kenapaa? dibicarakan dulu... GOD PROTECT THIS WOMAN PLS ,1972327200922935440,in
Sun Sep 28 15:16:36 +0000 2025,apply aja apa ya ya allah ? #kaburajadulu gitu maksudku.,1972319538424545640,in
Sun Sep 28 15:01:06 +0000 2025,@bunuhidolamu @hrdbacot Udah bisa adu nasib sama negara 4 seasons indonesia selain pemerintah macam iblis cuaca juga bikin gatahan. Baiknya memang #kaburajadulu https://t.co/JC67THrKSl,1972315638585790905,in
Sun Sep 28 14:27:55 +0000 2025,Mau banget jawab ini insyaAllah ketika dapat kepastian #kaburajadulu. Ikhtiar terus pokoknya.,1972307284991868937,in
Sun Sep 28 13:05:46 +0000 2025,@weebszz dan bodohnya mereka menyempitkan makna keresahan masyarakat dari #KaburAjaDulu sebagai persoalan kurangnya nasionalisme yg gak masuk akal itu,1972286611795918972,in
Sun Sep 28 12:58:51 +0000 2025,@tanyarlfes Bisa kok di toko emas manapun jg bisa. Khusus antam bahkan bisa dijual di luar negeri krn wes akreditasi LBMA jd bisa utk modal #kaburajadulu ke LN,1972284873957318731,in
Sun Sep 28 12:43:21 +0000 2025,@tanyakanrl #kaburajadulu kalian mau kemana? Kalau aku sih ke Jerman atau Swiss,1972280973216940289,in
Sun Sep 28 12:17:05 +0000 2025,Dua professional dari Indonesia yang berprofesi sebagai arsitek sudah berangkat ke Jepang untuk bekerja di bidang manajemen konstruksi. Di luar dua ini adalagi beberapa yang sudah sampai juga tapi kandidat ga berkenan untuk dipublikasikan. Kamu kapan ikut #KaburAjaDulu ? https://t.co/8xOYOgNRHI,1972274360624034049,in
Sun Sep 28 11:35:24 +0000 2025,@odebukanpuisi Pembunuh yang diselamatkan ke Yordania sekaligus Testimoni #KaburAjaDulu,1972263873333076272,in
Sun Sep 28 11:30:43 +0000 2025,ni ada studytwt tpi khusus buat fokus ngincer S2 di luar negeri kah? I seriously considering S2 abroad buat #kaburajadulu,1972262693928407294,in
Sun Sep 28 10:00:01 +0000 2025,[ADS] Buat yang tertarik bisa follow @les_kopula dulu biar gak ketinggalan info! Share juga biar temen kalian yang butuh untuk #KaburAjaDulu bisa ikut #BeasiswaKopula ini ya!,1972239865749316016,in
Sun Sep 28 07:54:44 +0000 2025,buka x sekarang cuma buat cari motivasi belajar karena tiap buka x bawaannya muak sama pemerintah disini pengen buru-buru #kaburajadulu,1972208336902017120,in
Sun Sep 28 05:28:44 +0000 2025,@catsandkatzen tempo hari baca diskursus #kaburajadulu versi wni dengan gaji 35 100++ gives me another perspective tbh tapi kepentok fakta bahwa SESULIT itu buat dapet well-paid job di sini. it takes special skills real luck and the right opportunity (and or maybe link).,1972171597340725702,in
Sun Sep 28 02:56:09 +0000 2025,duluan ya #KaburAjaDulu https://t.co/OPPryeZzUI,1972133198030315706,in
Sun Sep 28 01:59:04 +0000 2025,@Waelaahh Ehhh itu repost 2 minggu yg lalu edisi lg kangen Negara orang aja #KaburAjaDulu,1972118833923244309,in
Sun Sep 28 01:53:57 +0000 2025,@ekky1995 Secara ga langsung Indonesia dianggap super power oleh Malaysia dan Singapore bisa ngatur FIFA #KaburAjaDulu,1972117543952568373,in
Sat Sep 27 23:18:58 +0000 2025,ADUH MENDING AKU JADI WARGA SAUDI AJA #kaburajadulu,1972078541304181191,in
Sat Sep 27 15:55:34 +0000 2025,Rasanya ingin #kaburajadulu,1971966958125060400,in
Sat Sep 27 14:15:04 +0000 2025,@reynaa Congratssss ieltsnya karuyaaa! Maw robux @Syavierla ajh karna dah pensi palo selain karna skinku bacon i just wish u allllll the best on your long journey kedepannyaaa doakan ak juga bisa dapet skor tinggi dan one shot pas tes jerman ntar semoga kita sukses via #Kaburajadulu,1971941666396557512,in
Sat Sep 27 14:01:39 +0000 2025,@adith_wp @LutfiHidayatR Udah jadi penggerak #KaburAjaDulu kok ga bisa lari,1971938289646293042,in
Sat Sep 27 12:26:33 +0000 2025,@kiokunodilemma @hrdbacot Jalan2 sama tinggal 1-2 tahun beda sh ka rasanya. Walopun kangen sama abang2 cilok ato nasgor tetep menurut gw ga bisa menghalangi gw utk ga #kaburajadulu,1971914356670845155,in
Sat Sep 27 09:24:45 +0000 2025,Dari awal tahun udah rencana #kaburajadulu karena alasan ekonomi sekarang makin yakin untuk cabut dari sini karena pemerentahnya pendukung zionis,1971868605362196501,in
Sat Sep 27 08:22:57 +0000 2025,@inboundandhot kan mereka gapeduli sama orang lain maunya #KaburAjaDulu,1971853051251290189,in
Sat Sep 27 05:30:10 +0000 2025,@hrdbacot Yeyy tahun ini lulus smoga bisa #kaburajadulu,1971809568205557868,in
Sat Sep 27 05:12:42 +0000 2025,@dityaawahyu Amannn capt udeh sukses dah yeee #KaburAjaDulu,1971805175104131548,in
Sat Sep 27 05:07:53 +0000 2025,Pamer otot Kepencet follow kabur #kaburajadulu,1971803963524874305,in
Sat Sep 27 04:07:31 +0000 2025,Boleh ga sih #kaburajadulu dari keluarga? Gue capek banget: ,1971788769562099721,in
Sat Sep 27 01:43:30 +0000 2025,Gits kl ga inget kerjaan dia sebagai idol ibu kota kayaknya udah ikutan trend #kaburajadulu tuh dia ,1971752526929383468,in
Sat Sep 27 00:38:50 +0000 2025,Tempo kok mau angkut cerita legenda rakyat pdhl saksi mata &amp; bukti foto ada dia #kaburajadulu,1971736252610486631,in
Fri Sep 26 23:43:10 +0000 2025,Mau #KaburAjaDulu ke Australia? Ingin hijrah &amp; jadi penduduk tetap di sana? 🇦🇺 Bagaimana caranya? Gak usah bingung segera Hubungi INTEGRITY LAWYERS satu-satunya law firm Indonesia yang berpraktik di Australia berkantor di Melbourne Sydney selain Jakarta. Profesor Denny https://t.co/EU601ThbTE,1971722243857436866,in
Fri Sep 26 23:02:50 +0000 2025,Influencer NON Berbayar. Niat kami hanya ingin MENCEGAH penipuan cara gampang cari kerja dan pindah ke Australia 🇦🇺 yg blakangan marak banget. Penipunya makin GAMPANG dapet korban karena netijen terprovokasi tagar #kaburajadulu Merantau itu keren tapi ga bisa FOMO https://t.co/Km5KJQFWQZ,1971712092429586506,in
Fri Sep 26 01:56:02 +0000 2025,Kirain dah duluan #kaburajadulu ,1971393292815507569,in
Fri Sep 26 00:50:16 +0000 2025,@kiokunodilemma @hrdbacot Kak emg ga benci negaranya. Hasrat #kaburajadulu tu karena udah desperate mo bnerin sistemnya gmn. Mo usaha di pemilu juga blom ada hasil.,1971376742217678884,in
Fri Sep 26 00:37:21 +0000 2025,Iya ngga ya? #KaburAjaDulu https://t.co/PpGU1vOOhl,1971373492777185760,in
