Golongan Umur,,,,,,,,,,,,
,Angkatan Kerja (AK) Menurut Golongan Umur,,,,,,,,,,,
,Bekerja,,,Jumlah Pengangguran,,,Jumlah AK,,,% Bekerja / AK,,
,2025,,,2025,,,2025,,,2025,,
,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan
15-19,4724711,4936027,-,1022187,1502556,-,5746898,6438583,-,82.21,76.66,-
20-24,13697195,13977178,-,2527741,2341011,-,16224936,16318189,-,84.42,85.65,-
25-29,16384148,16577144,-,1319299,1184088,-,17703447,17761232,-,92.55,93.33,-
30-34,16799939,16913459,-,619800,607168,-,17419739,17520627,-,96.44,96.53,-
35-39,17177085,17165872,-,351093,413699,-,17528178,17579571,-,98,97.65,-
40-44,16774454,16653869,-,332935,315004,-,17107389,16968873,-,98.05,98.14,-
45-49,16164793,16019919,-,286032,320828,-,16450825,16340747,-,98.26,98.04,-
50-54,14080825,14211997,-,242764,251809,-,14323589,14463806,-,98.31,98.26,-
55-59,11512218,11549858,-,262632,203485,-,11774850,11753343,-,97.77,98.27,-
60+,18455812,18536941,-,313824,321859,-,18769636,18858800,-,98.33,98.29,-
Total,145771180,146542264,-,7278307,7461507,-,153049487,154003771,-,95.24,95.15,-
