Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,
,PDRB Triwulanan Atas Dasar Harga Konstan (2010=100) Menurut Lapangan Usaha di Kabupaten/Kota Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,
,Sektor Primer,,,,,Sektor Sekunder,,,,,Sektor Tersier,,,,,PDRB,,,,
,2025,,,,,2025,,,,,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Humbang Hasundutan,538.63,551.93,557.88,-,-,185.48,187.41,192.65,-,-,492.63,504.88,509,-,-,1216.74,1244.22,1259.52,-,-
Pakpak Bharat,155.33,154.64,154.88,-,-,24.19,24.25,25.1,-,-,81.58,82.47,83.01,-,-,261.1,261.36,263,-,-
Samosir,473.48,481.03,475.38,-,-,111.51,112.43,112.94,-,-,354.43,367.05,353.66,-,-,939.43,960.52,941.98,-,-
Serdang Bedagai,2674.34,2751.51,2908.65,-,-,1471.86,1510.45,1529.84,-,-,1681.84,1716.49,1705.7,-,-,5828.03,5978.44,6144.19,-,-
Batu Bara,1584.55,1597.22,1668.48,-,-,3523.64,3600.29,3700,-,-,1849.38,1910.5,1948.86,-,-,6957.57,7108.01,7317.33,-,-
Padang Lawas Utara,1129,1163.45,1208.8,-,-,741.89,770.9,790.14,-,-,583.35,595.21,609.2,-,-,2454.24,2529.56,2608.14,-,-
Padang Lawas,1313.44,1364.8,1419.63,-,-,673.76,694.75,726.17,-,-,419.52,427.06,424.34,-,-,2406.73,2486.61,2570.14,-,-
Labuhan Batu Selatan,1972.49,2061.28,2117.31,-,-,2578.48,2628.58,2723.68,-,-,1168.62,1197.49,1221.02,-,-,5719.6,5887.34,6062.01,-,-
Labuhan Batu Utara,2200.39,2280.73,2342.8,-,-,1603.2,1650.3,1697.3,-,-,1330.95,1369.98,1394.56,-,-,5134.54,5301.01,5434.66,-,-
Nias Utara,416.2,421.47,419.91,-,-,60.28,60.5,60.67,-,-,205.36,207.73,212.18,-,-,681.84,689.7,692.76,-,-
