Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,
,PDRB Triwulanan Atas Dasar Harga Konstan (2010=100) Menurut Lapangan Usaha di Kabupaten/Kota Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,
,Sektor Primer,,,,,Sektor Sekunder,,,,,Sektor Tersier,,,,,PDRB,,,,
,2025,,,,,2025,,,,,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Kota Batam,257.54,290.78,315.23,-,-,27536.78,27883.58,27829.96,-,-,7306.19,7522.56,7689.25,-,-,35100.51,35696.92,35834.44,-,-
Kota Tanjung Pinang,29.26,30.32,30.29,-,-,1339.93,1351.48,1275.48,-,-,2606.79,2730.3,2662.89,-,-,3975.97,4112.1,3968.66,-,-
Kep. Seribu,574.13,529.53,502.6,-,-,70.17,69.41,71.53,-,-,180.42,187.87,188.71,-,-,824.72,786.81,762.84,-,-
Kota Jakarta Selatan,58.88,58.69,58.91,-,-,14801.8,15065.52,15583.68,-,-,114364.29,116395.27,115230.96,-,-,129224.97,131519.48,130873.55,-,-
Kota Jakarta Timur,63.81,63.32,63.62,-,-,33423.25,33237,34299.31,-,-,59480.78,60725.29,60965.63,-,-,92967.84,94025.61,95328.56,-,-
Kota Jakarta Pusat,8.1,7.92,7.93,-,-,11910.4,12131.76,12541.8,-,-,125738.7,128441.78,126499.51,-,-,137657.19,140581.47,139049.25,-,-
Kota Jakarta Barat,57.98,57.51,57.67,-,-,16866.61,16983.65,17426.26,-,-,81747.82,83110.18,83010.24,-,-,98672.41,100151.34,100494.17,-,-
Kota Jakarta Utara,125.1,120.91,121.98,-,-,42687.86,42461.71,43515.61,-,-,54692.12,56174.63,56485.03,-,-,97505.08,98757.25,100122.62,-,-
Bogor,3342.81,3254.46,3217.15,-,-,29348.86,29605.47,29916.68,-,-,15218.02,15614.04,15610.73,-,-,47909.69,48473.97,48744.55,-,-
Sukabumi,3784.25,3529.07,3644.53,-,-,4231.86,4351.41,4507.08,-,-,6522.34,6680.41,6688.57,-,-,14538.44,14560.88,14840.19,-,-
Cianjur,2902.58,3157.73,3114.47,-,-,1417.18,1579.76,1630.82,-,-,5591.78,5733.17,5626.32,-,-,9911.55,10470.66,10371.61,-,-
Bandung,2048.8,2136.09,1902.83,-,-,14313.9,14896.85,15151.08,-,-,8820.09,8997.51,9070.52,-,-,25182.79,26030.45,26124.43,-,-
Garut,4292.38,3918.19,3794.96,-,-,1885.79,1923.36,1977.04,-,-,6228.89,6359.01,6365.52,-,-,12407.06,12200.56,12137.53,-,-
Tasikmalaya,2687.95,2434.92,2376.41,-,-,1248.15,1266.03,1330.64,-,-,3751.06,3809.52,3811.11,-,-,7687.17,7510.48,7518.16,-,-
Ciamis,1274.35,1314.7,1324.73,-,-,1077.99,1158.83,1159.64,-,-,4415.17,4511.93,4501.62,-,-,6767.52,6985.47,6986,-,-
Kuningan,1110.65,1162.43,1072.78,-,-,575.2,580.61,602.38,-,-,3744.52,3856.53,3926.4,-,-,5430.37,5599.56,5601.57,-,-
Cirebon,1248.92,1677.09,1418.38,-,-,3096.21,3164.28,3317.78,-,-,5583.82,5738.3,5782.41,-,-,9928.95,10579.68,10518.56,-,-
Majalengka,1324.37,1353.47,1352.87,-,-,2674.95,2803.18,2850.54,-,-,3138.61,3329.5,3265.08,-,-,7137.92,7486.14,7468.5,-,-
Sumedang,1319.42,1304.7,1184.95,-,-,2033.42,2110.33,2278.57,-,-,3819.48,3994.77,3900.76,-,-,7172.32,7409.8,7364.28,-,-
Indramayu,3631.2,4304.33,4053.27,-,-,9009.07,8982.91,9035.81,-,-,4503.4,4623.06,4605.12,-,-,17143.67,17910.3,17694.21,-,-
Subang,2559.44,2805.13,2696.3,-,-,1837.69,1873.49,1925.69,-,-,3925.55,4002.51,4035.52,-,-,8322.68,8681.13,8657.52,-,-
Purwakarta,898.52,942.92,901.28,-,-,9013.82,9105.42,9191.58,-,-,4048.05,4145.84,4141.45,-,-,13960.4,14194.17,14234.31,-,-
Karawang,1892.52,2348.43,2249.97,-,-,36375.81,37770.48,39603.13,-,-,10075.89,10473.54,10579.75,-,-,48344.22,50592.46,52432.85,-,-
Bekasi,1063.36,1222.6,1176.36,-,-,63179.09,64472.65,65581.5,-,-,10865.82,10962.61,10705.58,-,-,75108.27,76657.87,77463.44,-,-
Bandung Barat,1178.14,1205.34,1195.61,-,-,4574.95,4691.14,4691.5,-,-,3680.3,3776.52,3806.12,-,-,9433.38,9673.01,9693.24,-,-
Pangandaran,578.25,590.24,635.18,-,-,321.54,327.13,350.06,-,-,1480.62,1551.07,1553.54,-,-,2380.41,2468.44,2538.78,-,-
Kota Bogor,80.06,97.83,81.31,-,-,3034.3,3044.67,3071.83,-,-,6915.43,7053.77,7112.52,-,-,10029.79,10196.26,10265.67,-,-
Kota Sukabumi,89.08,91.16,83.68,-,-,314.64,324.25,327.43,-,-,2248.79,2292.99,2308.48,-,-,2652.5,2708.4,2719.59,-,-
Kota Bandung,44.35,51.95,41.82,-,-,14958.92,15232.97,15249.55,-,-,44650.28,45932.52,46147.07,-,-,59653.55,61217.45,61438.43,-,-
Kota Cirebon,10.28,10.21,9.94,-,-,1108.74,1076.8,1105.06,-,-,3988.72,4177.8,4156.82,-,-,5107.74,5264.81,5271.82,-,-
Kota Bekasi,99.22,106.28,102.83,-,-,9377.16,9604.48,9763.19,-,-,11412.75,11807.77,11553.58,-,-,20889.13,21518.53,21419.59,-,-
Kota Depok,178.73,185.53,177.48,-,-,7436.1,7716.4,7795.91,-,-,7265.35,7488.55,7474.5,-,-,14880.18,15390.48,15447.89,-,-
Kota Cimahi,10.32,10.57,9.81,-,-,3831.95,3960.62,3987.52,-,-,3173.71,3256.38,3230.66,-,-,7015.98,7227.57,7227.99,-,-
Kota Tasikmalaya,204.72,224.76,208.1,-,-,1343.39,1384.85,1393.41,-,-,3231.19,3356.22,3255.67,-,-,4779.3,4965.83,4857.18,-,-
Kota Banjar,105.48,122.81,113.55,-,-,200.63,192.26,208.23,-,-,668.63,679.03,694.18,-,-,974.75,994.11,1015.97,-,-
Cilacap,2743.93,2909.07,2720.79,-,-,16988.94,18636.66,19318.51,-,-,5850.92,5975.69,5942.13,-,-,25583.78,27521.42,27981.42,-,-
Banyumas,1873.62,1859.73,1866.55,-,-,4419.51,4537.24,4610.19,-,-,6171.43,6285.38,6277.69,-,-,12464.56,12682.34,12754.43,-,-
Purbalingga,1494.14,1530.19,1406.7,-,-,1762.9,1788.28,1815.38,-,-,2080.61,2131.72,2140.31,-,-,5337.65,5450.19,5362.39,-,-
Banjarnegara,1436.84,1488.16,1457.08,-,-,1007.46,1029.54,1060.83,-,-,2207.58,2230.99,2236.01,-,-,4651.88,4748.69,4753.92,-,-
Kebumen,1563.05,1299.81,1411.34,-,-,1755.3,1798.89,1842.1,-,-,3039.45,3107.01,3117.7,-,-,6357.8,6205.7,6371.15,-,-
Purworejo,863.73,768.08,735.44,-,-,1093.46,1128.65,1172.59,-,-,2147.93,2240.5,2243.25,-,-,4105.12,4137.23,4151.28,-,-
Wonosobo,1157.08,1287.39,1272.3,-,-,966.79,992.16,1010.84,-,-,1948.34,2001.95,2016.2,-,-,4072.2,4281.49,4299.34,-,-
Magelang,1480.32,1479.03,1487.87,-,-,2277.78,2341.62,2399.77,-,-,3353.93,3450.99,3433.84,-,-,7112.03,7271.64,7321.47,-,-
Boyolali,1558.97,1545.7,1474.45,-,-,2665.5,2700.14,2767.07,-,-,2940.95,2969.55,2900.74,-,-,7165.42,7215.39,7142.26,-,-
Klaten,1014.21,1052.68,1021.69,-,-,3604.49,3547.77,3617.47,-,-,3993.91,4124.93,4146.98,-,-,8612.6,8725.37,8786.14,-,-
Sukoharjo,642.59,664.24,631.97,-,-,3462.37,3548.71,3599.23,-,-,4189.24,4264.96,4257.25,-,-,8294.2,8477.91,8488.45,-,-
Wonogiri,2224.67,1743.85,1819.7,-,-,1558.9,1581.89,1603.7,-,-,2972.57,3085.61,3099.53,-,-,6756.14,6411.35,6522.93,-,-
Karanganyar,995.52,1035.18,986.74,-,-,4288.89,4340,4371.44,-,-,2978.25,3055.23,2986.26,-,-,8262.66,8430.41,8344.45,-,-
Sragen,1149.05,1116.07,1082.25,-,-,3620.16,3682.61,3718.52,-,-,3543.88,3636.36,3648.43,-,-,8313.1,8435.04,8449.2,-,-
Grobogan,1867.26,1390.14,1564.04,-,-,1152.11,1197.62,1216.49,-,-,3434.99,3514.39,3529.76,-,-,6454.36,6102.15,6310.28,-,-
Blora,2115.48,1946.46,1990.91,-,-,746.17,770.38,798.48,-,-,2366.68,2420.4,2440.76,-,-,5228.33,5137.25,5230.14,-,-
Rembang,1208.75,1060.41,1018.67,-,-,1314.27,1313.07,1385.88,-,-,1812.76,1832.25,1855.56,-,-,4335.78,4205.73,4260.11,-,-
Pati,2215.45,2219.54,2257.98,-,-,3459.16,3507.53,3553.08,-,-,3973.57,4090.19,4085.99,-,-,9648.17,9817.26,9897.05,-,-
Kudus,571.64,466.06,508.2,-,-,14621.78,14513.28,14742.97,-,-,3526.44,3657.88,3670.98,-,-,18719.86,18637.21,18922.15,-,-
Jepara,847.93,923.89,941.15,-,-,2595.72,2610.01,2641.3,-,-,3174.1,3234.38,3232.7,-,-,6617.75,6768.28,6815.16,-,-
Demak,1323.54,934.67,960.9,-,-,2224.76,2456.18,2471.78,-,-,2360.86,2413.05,2428.82,-,-,5909.16,5803.89,5861.49,-,-
Semarang,1006.04,1056.16,1014.06,-,-,5338.9,5476.18,5557.52,-,-,4294.4,4367.79,4375.3,-,-,10639.34,10900.13,10946.87,-,-
Temanggung,1015.86,1170.85,990.69,-,-,1371.17,1381.02,1424.59,-,-,2253.2,2280.12,2301.13,-,-,4640.24,4831.99,4716.41,-,-
Kendal,1882.69,1852.46,1770.54,-,-,4380.2,4630.63,4929.72,-,-,3393.61,3503.01,3540.84,-,-,9656.5,9986.1,10241.11,-,-
Batang,856.25,893.62,961.9,-,-,1970.4,2052.38,2132.48,-,-,1951.1,2028.83,2060.24,-,-,4777.75,4974.83,5154.62,-,-
Pekalongan,879.28,913.61,885.32,-,-,1845.93,1859.72,1910.98,-,-,2318.8,2329.75,2341.35,-,-,5044.02,5103.08,5137.64,-,-
Pemalang,1426.51,1595.67,1621.42,-,-,1364.09,1411.26,1462.13,-,-,2687.99,2810.05,2850.03,-,-,5478.6,5816.98,5933.58,-,-
Tegal,1111.83,1126.4,1123.42,-,-,3080.58,3115.77,3174.13,-,-,3448.21,3508.08,3536.43,-,-,7640.63,7750.25,7833.97,-,-
Brebes,3339.36,3352.81,3200.06,-,-,2160.65,2156.28,2244.03,-,-,4647.33,4735.04,4814.33,-,-,10147.34,10244.12,10258.43,-,-
Kota Magelang,30.28,31.94,28.81,-,-,572.93,591.11,615.5,-,-,1367.03,1402,1390.83,-,-,1970.24,2025.05,2035.13,-,-
Kota Surakarta,43.81,43.74,17.17,-,-,2974.91,3172.04,3330.76,-,-,7879.46,7999.81,7988.18,-,-,10898.18,11215.6,11336.12,-,-
Kota Salatiga,123.37,135.62,116.52,-,-,1264.49,1263.25,1289.2,-,-,1597.46,1632.83,1639.06,-,-,2985.31,3031.7,3044.78,-,-
Kota Semarang,363.25,380.1,340.6,-,-,21512.8,21929.28,22959.5,-,-,22157.09,22548.43,22579.82,-,-,44033.14,44857.82,45879.92,-,-
Kota Pekalongan,89.98,98.35,87.96,-,-,759.62,791.51,806.77,-,-,1449.79,1480.99,1467.79,-,-,2299.39,2370.85,2362.52,-,-
Kota Tegal,138.44,136.13,140.09,-,-,1047.72,1096.24,1127.65,-,-,2198.17,2210.96,2222.41,-,-,3384.33,3443.33,3490.15,-,-
Kulon Progo,423.08,366.34,373.19,-,-,666.6,697.61,731.31,-,-,1568.29,1627.65,1611.18,-,-,2657.97,2691.6,2715.68,-,-
Bantul,682.76,627.48,624.07,-,-,1246.65,1280.6,1319.72,-,-,3935.1,4062.04,4009.31,-,-,5864.51,5970.12,5953.1,-,-
Gunung Kidul,1086.4,890.81,906.13,-,-,720.42,739.74,766.35,-,-,2635.72,2715.27,2663.34,-,-,4442.55,4345.82,4335.83,-,-
Sleman,709.23,659.66,661.4,-,-,2646.86,2797.7,2958.16,-,-,7425.04,7605.14,7496.2,-,-,10781.13,11062.5,11115.77,-,-
Kota Yogyakarta,10.29,10.85,10.91,-,-,1447.89,1512.33,1525.67,-,-,6918.11,7088.46,7028.49,-,-,8376.3,8611.64,8565.07,-,-
Pacitan,999.93,960.7,1149.22,-,-,722.25,755.41,782.16,-,-,1641.07,1672.63,1669.15,-,-,3363.25,3388.74,3600.53,-,-
Ponorogo,900.31,1101.83,1231.56,-,-,793.24,836.55,844.6,-,-,2499.46,2535.99,2547.97,-,-,4193.01,4474.37,4624.13,-,-
Trenggalek,909.1,1015.73,1109.92,-,-,1032.33,1058.77,1081.94,-,-,1809.93,1833.84,1827.97,-,-,3751.37,3908.34,4019.83,-,-
Tulungagung,1235.73,1594.46,1773.66,-,-,2643.45,2699.99,2811.2,-,-,4060.58,4119.77,4137.7,-,-,7939.75,8414.22,8722.56,-,-
Blitar,2118.51,2611.6,2416.83,-,-,1829.02,1889.39,1968.61,-,-,3465.29,3526.07,3515.12,-,-,7412.82,8027.05,7900.56,-,-
Kediri,1543.32,1749.18,2129.61,-,-,2629.62,2760.9,2826.98,-,-,4215.34,4276.59,4278.47,-,-,8388.28,8786.67,9235.06,-,-
Malang,2787.14,3001.53,3299.44,-,-,9037.84,9339.48,9479.47,-,-,8514.65,8640.79,8571.64,-,-,20339.63,20981.81,21350.55,-,-
Lumajang,1971.7,2402.68,2411.58,-,-,2085.47,2123.88,2176.95,-,-,2411.97,2443.52,2468.49,-,-,6469.14,6970.08,7057.02,-,-
Jember,3757.25,5000.91,5741.09,-,-,4686.76,4816.56,4904.11,-,-,6982.72,7076.71,7137.33,-,-,15426.74,16894.19,17782.53,-,-
Banyuwangi,4581.43,5621.13,5741.3,-,-,4385.19,4536.34,4671.59,-,-,6848.7,6923.25,6837.58,-,-,15815.32,17080.72,17250.48,-,-
Bondowoso,913.54,1337.33,1226.2,-,-,1347.32,1396,1401.19,-,-,1625.73,1656.57,1641.55,-,-,3886.59,4389.9,4268.95,-,-
Situbondo,1015.82,1241.36,1316.02,-,-,1105.93,1159.45,1180.76,-,-,1832.4,1876.54,1860.02,-,-,3954.15,4277.34,4356.8,-,-
Probolinggo,1797.46,2596.68,2390.93,-,-,2519.59,2612.4,2633.73,-,-,2304.55,2335.14,2300.3,-,-,6621.6,7544.23,7324.96,-,-
Pasuruan,1362.82,1836.81,2032.14,-,-,23491.46,23736.47,24332.72,-,-,7227.35,7338.2,7178.09,-,-,32081.63,32911.47,33542.96,-,-
Sidoarjo,633.29,788.42,791.3,-,-,26711.48,27232.82,27920.53,-,-,16387.48,16724.37,16557.31,-,-,43732.26,44745.61,45269.14,-,-
Mojokerto,948.46,1392.75,1663.02,-,-,11852.71,12070.01,12288.86,-,-,5154.37,5237,5236.34,-,-,17955.54,18699.77,19188.22,-,-
Jombang,1123.25,1456.2,1760.78,-,-,2686.34,2779.91,2883.38,-,-,4516.41,4603.91,4650.81,-,-,8325.99,8840.02,9294.97,-,-
Nganjuk,1571.58,1482.01,1764.95,-,-,1446.68,1518.46,1508.03,-,-,2636.9,2737.29,2674.54,-,-,5655.16,5737.76,5947.52,-,-
Madiun,795.94,936.37,1218.59,-,-,1056.17,1049.81,1105.5,-,-,2012.5,2049.26,2027.73,-,-,3864.6,4035.45,4351.82,-,-
Magetan,956.76,935.2,1092.34,-,-,805.47,851.32,874.97,-,-,2111.78,2184.96,2175.81,-,-,3874.01,3971.48,4143.12,-,-
Ngawi,1138.06,875.84,1285.45,-,-,771.38,791.81,832,-,-,2113.24,2156.74,2167.76,-,-,4022.68,3824.39,4285.21,-,-
Bojonegoro,10022.68,9855.83,9638.45,-,-,2295.34,2373.01,2476.15,-,-,4764.71,4847.45,4853.99,-,-,17082.73,17076.29,16968.59,-,-
Tuban,3281.51,3103.97,3234.43,-,-,5814.46,5477.46,5695.95,-,-,4495.99,4552.34,4557.12,-,-,13591.96,13133.77,13487.51,-,-
Lamongan,2416.96,2797.29,2504.99,-,-,1937.01,2013.11,2052.67,-,-,4023.53,4093.78,4076.55,-,-,8377.5,8904.17,8634.21,-,-
Gresik,3615.39,3718.41,3429.56,-,-,18531.95,19069.97,19591.58,-,-,8253.52,8407.77,8444.23,-,-,30400.85,31196.15,31465.36,-,-
Bangkalan,1576.48,1723.31,1691.54,-,-,790.03,798.47,848.42,-,-,2130.04,2160.23,2175.56,-,-,4496.55,4682.01,4715.52,-,-
Sampang,1630.14,1665.64,1560.53,-,-,614.15,636.94,670.81,-,-,1634.77,1676.84,1693.69,-,-,3879.06,3979.43,3925.03,-,-
Pamekasan,1144.46,1120.2,1013.43,-,-,622.18,644.68,669.43,-,-,1747.1,1790.96,1801.3,-,-,3513.73,3555.84,3484.16,-,-
Sumenep,3495.41,3847.43,4167.55,-,-,1030.8,1049.2,1046.07,-,-,2417.59,2453.11,2483.12,-,-,6943.8,7349.74,7696.73,-,-
Kota Kediri,37.69,52.66,52.36,-,-,18731.25,18689.39,18651.52,-,-,5244.39,5291.16,5334.7,-,-,24013.33,24033.21,24038.58,-,-
Kota Blitar,18.07,42.02,32.78,-,-,234.46,236.96,249.42,-,-,1206.91,1239.17,1244.42,-,-,1459.44,1518.15,1526.62,-,-
Kota Malang,27.35,31.2,30.05,-,-,5871.16,6168.9,6252.07,-,-,10311.48,10523.51,10681.78,-,-,16209.98,16723.62,16963.91,-,-
Kota Probolinggo,90.09,135.05,140.33,-,-,528.94,548.84,578.12,-,-,1868.99,1923.52,1930.93,-,-,2488.02,2607.41,2649.39,-,-
Kota Pasuruan,31.82,35.98,34.64,-,-,430.52,434.74,452.61,-,-,1322.1,1345.06,1373.63,-,-,1784.43,1815.78,1860.87,-,-
Kota Mojokerto,2.35,8.96,3.68,-,-,272.96,279.82,284.34,-,-,1187.74,1206.37,1207.93,-,-,1463.05,1495.15,1495.96,-,-
Kota Madiun,14.63,23.51,26.44,-,-,705.82,709.28,679.29,-,-,2517.93,2540.77,2570.83,-,-,3238.38,3273.55,3276.57,-,-
Kota Surabaya,137.5,142.99,135.93,-,-,36345.26,37405.24,38974.52,-,-,87919.31,89122.65,90313.7,-,-,124402.07,126670.87,129424.15,-,-
Kota Batu,436.49,452.13,394.93,-,-,597.09,634.96,645.17,-,-,2400.89,2533.22,2483.31,-,-,3434.47,3620.3,3523.41,-,-
Pandeglang,2133.45,1869.4,2093.9,-,-,871.22,936.01,893.83,-,-,2809.92,2889.24,2843.55,-,-,5814.59,5694.65,5831.28,-,-
Lebak,1823.96,1649.55,1915.8,-,-,1233.49,1312.46,1287.63,-,-,2995.34,3086.36,3058.1,-,-,6052.79,6048.37,6261.53,-,-
Tangerang,1699.99,1660.12,1721.47,-,-,14889.86,15448.59,15320.46,-,-,12842.01,13071.4,13147.97,-,-,29431.86,30180.11,30189.9,-,-
Serang,1495.53,1357.67,1427.75,-,-,9743.58,9916.4,9874.84,-,-,5197.09,5220.63,5196.73,-,-,16436.2,16494.7,16499.31,-,-
Kota Tangerang,506.06,479.23,496.96,-,-,13474.76,13782.03,13820.78,-,-,18167.22,18459.55,18724.72,-,-,32148.03,32720.8,33042.46,-,-
Kota Cilegon,50.8,46.68,54.52,-,-,16274.68,16155.47,16689.68,-,-,6627.88,6811.33,6805.1,-,-,22953.37,23013.48,23549.29,-,-
Kota Serang,336.55,297.95,319.34,-,-,1579.72,1665.87,1553.93,-,-,5018.84,5105,5168.42,-,-,6935.1,7068.82,7041.69,-,-
Kota Tangerang Selatan,29.23,28.13,28.88,-,-,4037.6,4136.54,4005.57,-,-,14621.48,15003.83,15176.62,-,-,18688.31,19168.5,19211.07,-,-
Jembrana,542.81,535.9,553.17,-,-,374.19,391.75,405.17,-,-,1577.1,1670.5,1684.24,-,-,2494.09,2598.16,2642.58,-,-
Tabanan,866.6,911.48,894.08,-,-,636.47,680.89,683.26,-,-,2547.1,2743.55,2723.27,-,-,4050.17,4335.92,4300.61,-,-
Badung,644.71,673.22,650.14,-,-,1372.36,1442.25,1501.94,-,-,7308.88,7989.41,8064.67,-,-,9325.94,10104.88,10216.75,-,-
Gianyar,580.98,593.55,598.24,-,-,1186,1236.08,1241.27,-,-,3257.56,3390.94,3402.15,-,-,5024.54,5220.58,5241.66,-,-
Klungkung,358.7,364.4,360.77,-,-,302.81,321.08,328.12,-,-,939.61,993.53,995.28,-,-,1601.12,1679.01,1684.17,-,-
Bangli,317.4,311.55,331.56,-,-,205.77,211.26,218.12,-,-,697.67,765.29,742.98,-,-,1220.84,1288.1,1292.66,-,-
Karangasem,817.49,810.87,816.57,-,-,329.01,351.43,356.1,-,-,1787.26,1912.21,1911.79,-,-,2933.76,3074.52,3084.46,-,-
Buleleng,1190.53,1183.99,1191.24,-,-,919.84,971.69,997.19,-,-,3983.62,4304.32,4344.15,-,-,6093.99,6460,6532.57,-,-
Kota Denpasar,502.04,501.13,498.26,-,-,1712.26,1819.97,1849.37,-,-,7283.2,7855.02,7830.59,-,-,9497.5,10176.13,10178.22,-,-
Lombok Barat,807.82,830.77,873.04,-,-,505.08,511.43,521.6,-,-,1648.04,1748.23,1736.24,-,-,2960.94,3090.43,3130.88,-,-
Lombok Tengah,1042.13,1078.81,1139.57,-,-,662.87,679.73,931.68,-,-,1625.69,1747.24,1755.8,-,-,3330.68,3505.78,3827.06,-,-
Lombok Timur,1320.34,1351.51,1512.6,-,-,640.36,681.87,1062.11,-,-,1894.35,2032.81,2038.65,-,-,3855.05,4066.19,4613.37,-,-
Sumbawa,1205.84,1323.64,1292.08,-,-,429.56,434.77,479.58,-,-,1196.18,1244.25,1255.49,-,-,2831.58,3002.66,3027.15,-,-
Dompu,611.94,645.58,584.54,-,-,156.63,156.72,160.81,-,-,650.43,683.93,680.91,-,-,1419,1486.24,1426.26,-,-
Bima,1038.03,1196.27,1093.92,-,-,193.29,195.26,199.03,-,-,984.72,1039.51,1049.75,-,-,2216.04,2431.05,2342.69,-,-
Sumbawa Barat,3142.87,3178.42,3192.54,-,-,382.44,829.89,1116.84,-,-,471.6,499.7,499.41,-,-,3996.91,4508.02,4808.79,-,-
Lombok Utara,333.31,398.96,387.39,-,-,109.08,109.89,113.69,-,-,455.9,487.82,490.09,-,-,898.29,996.67,991.17,-,-
Kota Mataram,135.19,137.87,135.86,-,-,808.56,828.71,786.93,-,-,2944.47,3049.26,3037.57,-,-,3888.22,4015.84,3960.35,-,-
Kota Bima,106.59,115.99,120.18,-,-,97.59,101.19,103.9,-,-,602.95,646.71,659.74,-,-,807.12,863.89,883.83,-,-
Sumba Barat,109.48,126.09,106.69,-,-,31.76,33.66,36.37,-,-,265.11,275.12,279.03,-,-,406.36,434.87,422.09,-,-
Sumba Timur,262.69,293.84,260.12,-,-,131.88,143.26,159.09,-,-,680.35,719.04,724.22,-,-,1074.92,1156.14,1143.42,-,-
Kupang,552.87,604.98,570.89,-,-,172.27,187.43,200.63,-,-,595.7,630.2,639.34,-,-,1320.84,1422.61,1410.86,-,-
Timor Tengah Selatan,582.92,669.49,598.31,-,-,91.31,104.83,121.2,-,-,629.02,659.82,668.61,-,-,1303.25,1434.14,1388.12,-,-
Timor Tengah Utara,337.26,381.35,344.5,-,-,77.99,83.1,94.63,-,-,375.45,392.92,400.8,-,-,790.7,857.37,839.93,-,-
Belu,196.11,223.38,197.47,-,-,65.11,71.34,81.15,-,-,579.11,600.32,604.98,-,-,840.33,895.05,883.59,-,-
Alor,186.7,207.8,189.45,-,-,61.68,65.64,70.52,-,-,319.21,337.75,341.24,-,-,567.59,611.19,601.21,-,-
Lembata,110.72,128.49,111.1,-,-,20.38,21.85,23.3,-,-,189.92,192.71,194.69,-,-,321.02,343.05,329.09,-,-
Flores Timur,279.53,307.16,286.28,-,-,51.52,56.41,61.83,-,-,621.46,646.97,637.86,-,-,952.5,1010.54,985.97,-,-
Sikka,348.03,382.35,365.2,-,-,59.94,65.63,67.97,-,-,530.44,556.27,554.48,-,-,938.41,1004.26,987.64,-,-
Ende,350.72,386.92,359.96,-,-,118.36,126.73,136.53,-,-,675.66,720.94,733.74,-,-,1144.74,1234.59,1230.23,-,-
Ngada,221.89,255.1,224.6,-,-,86.69,90.65,96.46,-,-,324.77,339.2,345.51,-,-,633.35,684.95,666.57,-,-
Manggarai,195.7,232.73,189.97,-,-,97.59,112.38,123.11,-,-,521.39,549.89,596.55,-,-,814.67,895,909.63,-,-
Rote Ndao,253.11,287.71,255.13,-,-,31.49,33.68,45.41,-,-,251.16,262.57,265.65,-,-,535.75,583.96,566.2,-,-
Manggarai Barat,261.49,303.19,257.27,-,-,90.89,100.43,113.76,-,-,298.45,326.1,333.56,-,-,650.82,729.72,704.59,-,-
Sumba Tengah,88.65,105.18,93.12,-,-,7.29,8.1,9.33,-,-,110.34,115.76,118.38,-,-,206.28,229.05,220.83,-,-
Sumba Barat Daya,260.36,302.74,266.62,-,-,30.81,33.17,37.21,-,-,354.32,370.93,387.42,-,-,645.49,706.84,691.26,-,-
Nagekeo,193.77,227.85,197.86,-,-,26.34,28.87,32.08,-,-,158.26,165.19,166.91,-,-,378.36,421.92,396.85,-,-
Manggarai Timur,261.17,304.2,263.96,-,-,28.22,30.46,34.46,-,-,282.11,297.6,308.31,-,-,571.49,632.26,606.72,-,-
Sabu Raijua,98.91,107.07,101.85,-,-,28.44,31.02,33.71,-,-,86.21,91.13,90.25,-,-,213.57,229.22,225.81,-,-
Malaka,213.43,242.97,219.02,-,-,64.11,70.01,76.5,-,-,239.91,251.03,251.92,-,-,517.45,564,547.44,-,-
Kota Kupang,108.5,116.85,113.87,-,-,653.08,713.78,777.8,-,-,3880.63,4092.51,4034.13,-,-,4642.2,4923.14,4925.8,-,-
Sambas,1480.36,1379.78,1447.34,-,-,748.26,770.03,784.95,-,-,1861.53,2013.16,1967.91,-,-,4090.16,4162.96,4200.19,-,-
Bengkayang,704.64,606.72,635.44,-,-,303.79,321.71,328.12,-,-,759.97,807.51,807.94,-,-,1768.4,1735.95,1771.51,-,-
Landak,877.35,764.98,807.47,-,-,403.72,426.15,433.63,-,-,911.99,939.37,928.45,-,-,2193.07,2130.5,2169.55,-,-
Mempawah,365.42,381.46,383.2,-,-,474.64,481.47,549.27,-,-,795.31,819.49,814.73,-,-,1635.37,1682.42,1747.19,-,-
Sanggau,1715.23,1724.38,1784.99,-,-,805.38,827.06,838.13,-,-,1414.21,1471.8,1475.83,-,-,3934.83,4023.25,4098.94,-,-
Ketapang,2385.13,2484.46,2514.99,-,-,1293.59,1358.4,1353.08,-,-,1735.23,1755.48,1743.75,-,-,5413.96,5598.34,5611.82,-,-
Sintang,973.51,942.41,943.32,-,-,597.99,621.29,627.33,-,-,1331.68,1373.93,1365.36,-,-,2903.18,2937.63,2936.02,-,-
Kapuas Hulu,590.85,563.75,581.18,-,-,543.56,586.24,595.89,-,-,764.5,789.95,783.01,-,-,1898.91,1939.94,1960.08,-,-
Sekadau,540.04,541.32,547.54,-,-,203.45,225.87,228.49,-,-,550.19,581.39,573.2,-,-,1293.68,1348.58,1349.24,-,-
Melawi,279.89,266.79,272.51,-,-,171.75,190.35,190,-,-,567.42,592.11,593.43,-,-,1019.07,1049.26,1055.94,-,-
Kayong Utara,270.04,245.99,237.8,-,-,150.36,193.03,195.19,-,-,359.03,367.23,366.52,-,-,779.43,806.25,799.51,-,-
